rna	cds	GeneID	Name	gene_name	description	protein_id	protein_family._internal	protein_copy_number	FPKM	kdp	hl	beta	beta.var
144	124	GeneID:100760825,Genbank:XP_003495052.1	XP_003495052.1	Kctd3	BTB/POZ domain-containing protein KCTD3 isoform X1	XP_003495052.1	401	7621.23640227473	21.3972	0.029237873659412	23.7071679231644	0.0432600752583431	1.82677975830961e-07
149	128	GeneID:100752075,Genbank:XP_007641800.1	XP_007641800.1	Cenpf	centromere protein F isoform X1	XP_007641800.1	440	2793.40255343661	7.95008	0.0458918003954346	15.1039439417788	0.0599140019943657	2.46959967852957e-10
151	130	GeneID:100761694,Genbank:XP_003495054.1	XP_003495054.1	Smyd2	N-lysine methyltransferase SMYD2	XP_003495054.1	485	15201.6797692804	47.0695	0.0366586053278381	18.90817106546	0.0506808069267692	4.78542785347926e-09
161	140	GeneID:100752262,Genbank:XP_003495100.2	XP_003495100.2	Lysmd2	lysM and putative peptidoglycan-binding domain-containing protein 2	XP_003495100.2	631	8069.99575241265	31.9004	0.0392559870331173	17.657107436254	0.0532781886320484	3.29734530034093e-07
167	144	GeneID:100764603,Genbank:XP_003495062.1	XP_003495062.1	Mapk6	mitogen-activated protein kinase 6 isoform X1	XP_003495062.1	693	47449.8245777001	72.3283	0.0265594541695362	26.0979452414721	0.0405816557684674	7.08926667838797e-06
171	148	GeneID:100753457,Genbank:XP_007647992.1	XP_007647992.1	Myo5a	unconventional myosin-Va isoform X1	XP_007647992.1	768	19791.6133777435	16.1669	0.0257461931261081	26.9223172981273	0.0397683947250392	8.19867901954987e-12
220	191	GeneID:100771441,Genbank:XP_003495083.1	XP_003495083.1	Polr2m	protein GRINL1A	XP_003495083.1	1371	1719.06972404432	102001	0.0345598991491863	20.056400557415	0.0485821007481174	1.77803416154565e-07
225	196	GeneID:100772891,Genbank:XP_003495087.1	XP_003495087.1	Adam10	disintegrin and metalloproteinase domain-containing protein 10 isoform X1	XP_003495087.1	1454	12736.3623141469	44.1989	0.00289600604353267	239.345902646811	0.0169182076424638	0.000270606092774697
227	198	GeneID:100757547,Genbank:XP_007648449.1	XP_007648449.1	Sltm	SAFB-like transcription modulator	XP_007648449.1	1480	10000.8087638936	26.5634	0.016881712600515	41.0590558530655	0.0309039141994461	1.15012335061353e-11
234	205	GeneID:100773656,Genbank:XP_003495090.1	XP_003495090.1	Ccnb2	G2/mitotic-specific cyclin-B2	XP_003495090.1	1598	22305.5689747085	120528	0.203738493442754	3.40214148464145	0.217760695041685	2.43804550759896e-09
235	206	GeneID:100773946,Genbank:XP_003495091.1	XP_003495091.1	Myo1e	unconventional myosin-Ie isoform X1	XP_003495091.1	1616	168302.938957676	48.9296	0.0228888067922289	30.2832378660857	0.03691100839116	1.07526157705643e-12
239	210	GeneID:100750331,Genbank:XP_007647299.1	XP_007647299.1	Gtf2a2	transcription initiation factor IIA subunit 2	XP_007647299.1	1676	53287.2730597805	98.4945	0.024808949055616	27.9394011816489	0.0388311506545471	1.39180432972118e-11
241	212	GeneID:100750620,Genbank:XP_003495096.2	XP_003495096.2	Bnip2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 isoform X1	XP_003495096.2	1692	5583.89094078672	5.37377	0.0166766166880563	41.5640170620684	0.0306988182869874	3.23070949288986e-10
246	217	GeneID:100758986,Genbank:XP_007648874.1	XP_007648874.1	LOC100758986	AFG3-like protein 1	XP_007648874.1	1774	25330.9951104145	47.8119	0.0257039012955999	26.9666138454477	0.039726102894531	9.40288099976413e-12
253	224	GeneID:100760643,Genbank:XP_003495120.1	XP_003495120.1	Tcf25	transcription factor 25 isoform X2	XP_003495120.1	1880	2227.00518254948	35.7655	0.042692190113634	16.2359246202875	0.0567143917125651	7.44903375238712e-10
268	239	GeneID:100762678,Genbank:XP_003495127.1	XP_003495127.1	Chmp1a	charged multivesicular body protein 1a	XP_003495127.1	2130	12713.5712271282	37.4284	0.0492143460285598	14.0842505589265	0.0632365476274909	6.28493062197324e-07
275	246	GeneID:100763722,Genbank:XP_003495131.1	XP_003495131.1	Spg7	paraplegin isoform X1	XP_003495131.1	2232	6576.90667771252	6.10642	0.0239008210980915	29.0009777369236	0.0379230226970226	7.86157919215556e-11
281	251	GeneID:100764604,Genbank:XP_003495134.1	XP_003495134.1	Acsf3	acyl-CoA synthetase family member 3%2C mitochondrial	XP_003495134.1	2307	16386.9471719834	3.70163	0.0158328047770169	43.7791781255415	0.029855006375948	7.06425452457983e-11
287	258	GeneID:100753676,Genbank:XP_007607447.1	XP_007607447.1	Trappc2l	trafficking protein particle complex subunit 2-like protein isoform X1	XP_007607447.1	2402	5360.06028751571	89.2602	0.0658924699861121	10.519368612317	0.0799146715850432	2.8573871480971e-06
289	260	GeneID:100765665,Genbank:XP_003495138.1	XP_003495138.1	Aprt	adenine phosphoribosyltransferase	XP_003495138.1	2433	1081518.47011393	244213	0.015575637757071	44.502009572306	0.0295978393560021	5.53746961544093e-14
292	263	GeneID:100765955,Genbank:XP_003495139.1	XP_003495139.1	Ctu2	cytoplasmic tRNA 2-thiolation protein 2	XP_003495139.1	2470	13370.8012252786	15.5495	0.00605143133468728	114.542682916482	0.0200736329336184	0
296	266	GeneID:100766541,Genbank:XP_003495141.1	XP_003495141.1	Mvd	diphosphomevalonate decarboxylase isoform X1	XP_003495141.1	2506	267302.882970581	69.5476	0.0209349347857362	33.1095934930838	0.0349571363846673	3.32976399822057e-11
319	287	GeneID:100768667,Genbank:XP_003495149.1	XP_003495149.1	Slc7a5	large neutral amino acids transporter small subunit 1 isoform X1	XP_003495149.1	2762	32904.9272596667	71.0805	0.0304591825122625	22.7565917201124	0.0444813841111936	7.83698777693023e-12
320	288	GeneID:100768960,Genbank:XP_003495150.1	XP_003495150.1	Klhdc4	kelch domain-containing protein 4 isoform X1	XP_003495150.1	2775	53704.3251836554	44.4879	0.0168551266976202	41.1238190608091	0.0308773282965513	4.21372317793302e-09
326	294	GeneID:100769810,Genbank:XP_003495152.1	XP_003495152.1	Map1lc3b	microtubule-associated proteins 1A/1B light chain 3B	XP_003495152.1	2854	108845.263773045	97508	0.105956510945502	6.54180827940308	0.119978712544433	4.74699502927954e-05
336	303	GeneID:100757169,Genbank:XP_007608170.1	XP_007608170.1	Foxf1	forkhead box protein F1 isoform X1	XP_007608170.1	2970	5047.43649814202	29.8293	0.0656571278994444	10.5570743457057	0.0796793294983755	2.73883501805123e-08
343	309	GeneID:100770955,Genbank:XP_003495156.1	XP_003495156.1	Emc8	ER membrane protein complex subunit 8	XP_003495156.1	3027	55057.2919316611	45.7408	0.0218144201109361	31.774724106118	0.0358366217098672	6.96479681709226e-11
361	326	GeneID:100758613,Genbank:XP_007653395.1	XP_007653395.1	Usp10	ubiquitin carboxyl-terminal hydrolase 10 isoform X1	XP_007653395.1	3108	262290.743663116	55.3489	0.0172553508907991	40.1699846584716	0.0312775524897302	2.58178313449932e-14
363	328	GeneID:100772395,Genbank:XP_003495161.1	XP_003495161.1	Cotl1	coactosin-like protein	XP_003495161.1	3113	444754.580864837	89626	0.0219274713225748	31.6109035265884	0.0359496729215059	2.07588430364141e-11
379	341	GeneID:100774919,Genbank:XP_003495170.1	XP_003495170.1	Hsdl1	inactive hydroxysteroid dehydrogenase-like protein 1 isoform X1	XP_003495170.1	3133	3575.41855875317	1.8379	0.0223707487342755	30.9845320240862	0.0363929503332066	8.69583072736731e-11
384	348	GeneID:100759191,Genbank:XP_007608645.1	XP_007608645.1	Mlycd	malonyl-CoA decarboxylase%2C mitochondrial isoform X1	XP_007608645.1	3143	26672.1439664479	47.2365	0.0237776356520245	29.1512238939084	0.0377998372509556	2.59540674471247e-15
385	349	GeneID:100751023,Genbank:XP_003495173.1	XP_003495173.1	Hsbp1	heat shock factor-binding protein 1	XP_003495173.1	3144	2075.22241595141	197234	0.0319873191018839	21.6694365148945	0.046009520700815	0.00316905348175803
398	359	GeneID:100760933,Genbank:XP_003495204.1	XP_003495204.1	Plxna1	plexin-A1 isoform X1	XP_003495204.1	3158	6725.18222761693	13.0412	0.0454792565518497	15.2409523178926	0.0595014581507808	5.15763815020638e-09
400	360	GeneID:100761221,Genbank:XP_003495205.1	XP_003495205.1	Chchd6	coiled-coil-helix-coiled-coil-helix domain-containing protein 6%2C mitochondrial isoform X1	XP_003495205.1	3160	34102.7628505922	58.4109	0.0111268017419004	62.2952755552165	0.0251490033408315	0
412	372	GeneID:100762387,Genbank:XP_003495210.1	XP_003495210.1	Slc41a3	solute carrier family 41 member 3	XP_003495210.1	3179	639.732383600644	5.4006	0.0366391841700392	18.9181936296155	0.0506613857689703	1.84755947075878e-08
413	373	GeneID:100763049,Genbank:XP_007609925.1	XP_007609925.1	Iqsec1	IQ motif and SEC7 domain-containing protein 1 isoform X1	XP_007609925.1	3182	2715.80774737182	9.33245	0.0488418063406262	14.1916778369311	0.0628640079395573	5.20875519064131e-07
423	383	GeneID:100764416,Genbank:XP_003495215.1	XP_003495215.1	Tmem43	transmembrane protein 43	XP_003495215.1	3201	423232.993946343	45.4147	0.0163694117141529	42.3440495397066	0.0303916133130841	6.55383166969493e-13
424	384	GeneID:100764712,Genbank:XP_003495216.1	XP_003495216.1	Xpc	DNA repair protein complementing XP-C cells isoform X1	XP_003495216.1	3203	12477.8432524231	9.29547	0.0242304190134361	28.6064875797478	0.0382526206123672	6.10030365947325e-06
425	385	GeneID:100765189,Genbank:XP_003495218.1	XP_003495218.1	Lsm3	U6 snRNA-associated Sm-like protein LSm3	XP_003495218.1	3204	223751.181022459	138177	0.0199488817726767	34.7461671515506	0.0339710833716078	1.16477000853979e-11
427	386	GeneID:100765478,Genbank:XP_007610973.1	XP_007610973.1	Slc6a6	sodium- and chloride-dependent taurine transporter isoform X1	XP_007610973.1	3207	54429.0164233718	8.19299	0.0440430030434379	15.7379636414965	0.058065204642369	1.8360168027724e-13
439	396	GeneID:100766935,Genbank:XP_003495222.1	XP_003495222.1	Mrps25	28S ribosomal protein S25%2C mitochondrial isoform X1	XP_003495222.1	3224	36576.9449524551	111455	0.0161337617992255	42.9625272261811	0.0301559633981566	2.35268100735921e-10
468	423	GeneID:100752265,Genbank:XP_003495248.1	XP_003495248.1	Suclg2	succinyl-CoA ligase [GDP-forming] subunit beta%2C mitochondrial isoform X1	XP_003495248.1	3260	545814.173373458	124338	0.0206942197032201	33.4947241548851	0.0347164213021512	1.28489853809397e-14
473	427	GeneID:100758228,Genbank:XP_007618546.1	XP_007618546.1	Ppp4r2	serine/threonine-protein phosphatase 4 regulatory subunit 2 isoform X1	XP_007618546.1	3269	8577.52685447206	44.7428	0.0367854194952434	18.8429869788375	0.0508076210941745	9.34860307198534e-11
475	429	GeneID:100753163,Genbank:XP_003495251.1	XP_003495251.1	Shq1	protein SHQ1 homolog isoform X1	XP_003495251.1	3272	4363.83947224627	31.3578	0.0374313646493003	18.5178175322791	0.0514535662482314	3.76293248884833e-09
494	444	GeneID:100756195,Genbank:XP_003495259.1	XP_003495259.1	Arl6ip5	PRA1 family protein 3	XP_003495259.1	3299	189540.31722521	99.0057	0.0216645840388642	31.9944836843626	0.0356867856377954	1.70645381840129e-11
496	446	GeneID:100756487,Genbank:XP_003495260.1	XP_003495260.1	Tmf1	TATA element modulatory factor isoform X1	XP_003495260.1	3300	513.702706793503	11.2256	0.259858086705358	2.66740661931324	0.273880288304289	0.000106420352424656
510	459	GeneID:100761407,Genbank:XP_003495274.1	XP_003495274.1	Farp1	FERM%2C RhoGEF and pleckstrin domain-containing protein 1 isoform X1	XP_003495274.1	3323	14265.2523342041	13.4129	0.0200926527637353	34.4975443865226	0.0341148543626664	4.95947142845866e-10
511	460	GeneID:100764714,Genbank:XP_007619939.1	XP_007619939.1	Ipo5	importin-5 isoform X1	XP_007619939.1	3327	2752404.88525833	192726	0.0097466659961901	71.1163366869134	0.0237688675951212	9.09402739683507e-16
517	464	GeneID:100762273,Genbank:XP_003495276.2	XP_003495276.2	Uggt2	UDP-glucose:glycoprotein glucosyltransferase 2 isoform X1	XP_003495276.2	3332	1103.49855290659	5.46885	0.0611501815314595	11.3351614533368	0.0751723831303906	6.10098353409445e-09
533	478	GeneID:100766754,Genbank:XP_007621648.1	XP_007621648.1	Abcc4	multidrug resistance-associated protein 4 isoform X1	XP_007621648.1	3359	61229.7733584202	35.0257	0.0282108715496209	24.5702150442516	0.042233073148552	2.15942897760167e-11
565	503	GeneID:100752266,Genbank:XP_007626852.1	XP_007626852.1	Tmx4	thioredoxin-related transmembrane protein 4 isoform X1	XP_007626852.1	3403	20326.8738375373	4.42096	0.0204510057177738	33.8930608169327	0.0344732073167049	5.10686199496707e-10
574	511	GeneID:100772979,Genbank:XP_003495308.1	XP_003495308.1	Trmt6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 isoform X2	XP_003495308.1	3414	22415.4990160635	15.3199	0.015492461810226	44.740932012653	0.0295146634091571	1.68642811079454e-09
585	520	GeneID:100758121,Genbank:XP_007628095.1	XP_007628095.1	Rgma	repulsive guidance molecule A isoform X1	XP_007628095.1	3425	11361.9093505771	38549	0.0171550041258894	40.4049556312193	0.0311772057248205	1.94613486358312e-10
587	522	GeneID:100756099,Genbank:XP_007628448.1	XP_007628448.1	Chd2	chromodomain-helicase-DNA-binding protein 2 isoform X1	XP_007628448.1	3427	819.520040143813	1.75074	0.038620070273027	17.9478487651549	0.0526422718719581	2.46158964303627e-10
611	539	GeneID:100762757,Genbank:XP_007630096.1	XP_007630096.1	Glt8d1	glycosyltransferase 8 domain-containing protein 1	XP_007630096.1	3459	11652.9718716976	36977	0.118917019389959	5.82883076043926	0.13293922098889	4.08843865945708e-09
613	540	GeneID:100762471,Genbank:XP_003495330.1	XP_003495330.1	Gnl3	guanine nucleotide-binding protein-like 3 isoform X2	XP_003495330.1	3461	205055.142255262	104059	0.031330218650236	22.1239177516792	0.0453524202491671	2.97433709118888e-11
621	549	GeneID:100763344,Genbank:XP_003495333.1	XP_003495333.1	Smim4	small integral membrane protein 4	XP_003495333.1	3475	5413.5367562878	25.83	0.0429851550329464	16.1252688289405	0.0570073566318776	5.68711246637558e-08
622	550	GeneID:100763624,Genbank:XP_003495334.2	XP_003495334.2	Nt5dc2	5'-nucleotidase domain-containing protein 2 isoform X1	XP_003495334.2	3477	14156.8501456979	117181	0.0234007477455234	29.6207278544141	0.0374229493444546	0
624	552	GeneID:100754172,Genbank:XP_007638244.1	XP_007638244.1	Nisch	nischarin isoform X1	XP_007638244.1	3480	3091.62018323382	19.7187	0.040662919650784	17.046173430554	0.0546851212497151	9.68839164840124e-06
629	556	GeneID:100765297,Genbank:XP_003495340.1	XP_003495340.1	Bap1	ubiquitin carboxyl-terminal hydrolase BAP1 isoform X1	XP_003495340.1	3487	1057.80822760483	41.4032	0.0322256821702675	21.509154620766	0.0462478837691986	9.79885073978083e-05
641	564	GeneID:100767224,Genbank:XP_003495347.1	XP_003495347.1	Ankrd28	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A isoform X1	XP_003495347.1	3500	22266.7016117571	3.75179	0.0250270019700913	27.6959733885943	0.0390492035690224	4.15139663882181e-10
645	570	GeneID:100767514,Genbank:XP_003495348.1	XP_003495348.1	Hacl1	2-hydroxyacyl-CoA lyase 1 isoform X1	XP_003495348.1	3513	292684.601159498	41765	0.0346293871796105	20.0161549774136	0.0486515887785416	1.65003214373555e-13
655	580	GeneID:100768872,Genbank:XP_003495353.1	XP_003495353.1	LOC100768872	mitochondrial import inner membrane translocase subunit Tim23	XP_003495353.1	3535	70693.7724463189	47.5952	0.0219171219765789	31.6258303120572	0.03593932357551	4.02185511654163e-10
656	581	GeneID:100769150,Genbank:XP_003495354.1	XP_003495354.1	Parg	poly(ADP-ribose) glycohydrolase isoform X2	XP_003495354.1	3537	2224.62090210649	10.8177	0.0230202252312755	30.110356158385	0.0370424268302066	2.51361733016575e-08
683	604	GeneID:100771734,Genbank:XP_007635190.1	XP_007635190.1	Mapk8	mitogen-activated protein kinase 8 isoform X1	XP_007635190.1	3566	5833.29657181329	5.01454	0.0316904861991628	21.8724060023496	0.0457126877980939	7.07989967437364e-11
701	623	GeneID:100759948,Genbank:XP_003495404.2	XP_003495404.2	Glud1	glutamate dehydrogenase 1%2C mitochondrial isoform X1	XP_003495404.2	3599	1162841.33847406	155328	0.0109734023447676	63.1661137341288	0.0249956039436987	1.88188460771904e-13
721	643	GeneID:100752368,Genbank:XP_003495384.1	XP_003495384.1	Wapal	wings apart-like protein homolog isoform X1	XP_003495384.1	3641	6372.33887689993	18.8977	0.0311396586427573	22.2593056819254	0.0451618602416884	4.8248151414695e-11
736	656	GeneID:100762177,Genbank:XP_007638361.1	XP_007638361.1	Mid1ip1	mid1-interacting protein 1	XP_007638361.1	3660	138073.553394442	167113	0.083126052308236	8.33850713840851	0.0971482539071671	1.06972698914754e-07
742	661	GeneID:100768578,Genbank:XP_007638396.1	XP_007638396.1	Atp6ap2	renin receptor isoform X1	XP_007638396.1	3667	251390.126593682	187358	0.162032957510859	4.27781601476657	0.176055159109791	1.2735305876252e-13
746	665	GeneID:100762759,Genbank:XP_003495410.1	XP_003495410.1	LOC100762759	uncharacterized protein CXorf38 homolog isoform X1	XP_003495410.1	3679	98737.5158017144	20.6277	0.0380925841777125	18.1963811466878	0.0521147857766436	1.16449154574198e-11
753	669	GeneID:100763346,Genbank:XP_003495411.1	XP_003495411.1	Usp9x	probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X2	XP_003495411.1	3683	183864.664709619	29.2536	0.0374040173343774	18.5313565215062	0.0514262189333085	2.24397134123631e-13
754	670	GeneID:100764307,Genbank:XP_003495414.1	XP_003495414.1	Ddx3x	ATP-dependent RNA helicase DDX3X isoform X1	XP_003495414.1	3685	2192171.47055389	163408	0.0251857484525816	27.5214048875683	0.0392079500515127	3.54470305608551e-15
761	676	GeneID:100764902,Genbank:XP_003495416.1	XP_003495416.1	Cask	peripheral plasma membrane protein CASK isoform X1	XP_003495416.1	3689	37392.1485815827	10.0403	0.0167386183492512	41.410059426497	0.0307608199481823	1.8901552107072e-11
774	687	GeneID:100773753,Genbank:XP_003495431.1	XP_003495431.1	Lsg1	large subunit GTPase 1 homolog isoform X1	XP_003495431.1	3707	28036.812034433	35.3907	0.0283245672829696	24.4715894027693	0.0423467688819007	5.0021357450483e-12
788	695	GeneID:100774340,Genbank:XP_003495433.1	XP_003495433.1	Bdh1	D-beta-hydroxybutyrate dehydrogenase%2C mitochondrial	XP_003495433.1	3725	97548.0313274663	29.6991	0.0129943437324183	53.342222957415	0.0270165453313494	2.18767753613882e-10
792	698	GeneID:100774630,Genbank:XP_007638704.1	XP_007638704.1	Dlg1	disks large homolog 1 isoform X1	XP_007638704.1	3729	51372.4202260504	9.69289	0.0186923368469086	37.0818900941527	0.0327145384458397	2.30809094238098e-12
802	709	GeneID:100750917,Genbank:XP_003495438.1	XP_003495438.1	Ncbp2	nuclear cap-binding protein subunit 2	XP_003495438.1	3750	71766.9759360228	43.4368	0.0250377366334329	27.6840990345104	0.039059938232364	2.67490270053783e-36
806	713	GeneID:100751503,Genbank:XP_003495440.1	XP_003495440.1	Pak2	serine/threonine-protein kinase PAK 2	XP_003495440.1	3757	320603.707196238	52.8655	0.0235920620622861	29.3805254805598	0.0376142636612172	6.86676754742186e-12
843	748	GeneID:100764207,Genbank:XP_007639171.1	XP_007639171.1	Lrch3	leucine-rich repeat and calponin homology domain-containing protein 3 isoform X1	XP_007639171.1	3806	10946.8146002975	7.14394	0.0387220827107619	17.9005655697156	0.0527442843096931	2.84100741452122e-10
847	752	GeneID:100754849,Genbank:XP_003495452.1	XP_003495452.1	Rpl35a	60S ribosomal protein L35a	XP_003495452.1	3813	1200357.3672545	1331.49	0.0114880311934089	60.3364640024331	0.02551023279234	4.81333579898997e-15
850	755	GeneID:100755618,Genbank:XP_003495455.1	XP_003495455.1	Osbpl11	oxysterol-binding protein-related protein 11 isoform X1	XP_003495455.1	3820	23547.9055836441	13.7491	0.0171632540703957	40.3855339853955	0.0311854556693268	1.86331218748265e-09
851	756	GeneID:100755911,Genbank:XP_003495456.1	XP_003495456.1	Snx4	sorting nexin-4	XP_003495456.1	3824	164595.117683334	48.9486	0.0200265203767118	34.611463575369	0.0340487219756429	6.23376098062215e-12
863	768	GeneID:100765378,Genbank:XP_007639183.1	XP_007639183.1	Itgb5	integrin beta-5	XP_007639183.1	3840	65816.1723500659	102009	0.0236523986826247	29.3055765658618	0.0376746002815558	3.32720615047278e-14
864	769	GeneID:100756786,Genbank:XP_003495459.1	XP_003495459.1	Umps	uridine 5'-monophosphate synthase	XP_003495459.1	3844	392733.669062634	40.6407	0.0126828665173391	54.6522491277762	0.0267050681162702	1.12770565449082e-11
881	786	GeneID:100766255,Genbank:XP_003495489.1	XP_003495489.1	Pdia5	protein disulfide-isomerase A5	XP_003495489.1	3865	59282.4654027415	42.7923	0.0217934192958461	31.8053432162461	0.0358156208947772	9.91458718477346e-09
885	790	GeneID:100758989,Genbank:XP_007639078.1	XP_007639078.1	Parp14	poly [ADP-ribose] polymerase 14	XP_007639078.1	3871	3936.25450694947	3.13446	0.030635949530381	22.6252879765507	0.0446581511293122	5.87859576360742e-13
887	791	GeneID:100759272,Genbank:XP_003495468.1	XP_003495468.1	Dtx3l	E3 ubiquitin-protein ligase DTX3L isoform X1	XP_003495468.1	3874	6361.08039006351	1.59972	0.0215702747201126	32.1343696153132	0.0355924763190437	4.88132221723484e-06
900	803	GeneID:100772025,Genbank:XP_007639284.1	XP_007639284.1	Ube2j1	ubiquitin-conjugating enzyme E2 J1	XP_007639284.1	3889	12344.1932598347	15.1905	0.0260451918536156	26.6132491730416	0.0400673934525467	1.71629346955637e-11
904	807	GeneID:100773184,Genbank:XP_007639364.1	XP_007639364.1	Mdn1	midasin isoform X1	XP_007639364.1	3898	17924.5487493552	2.31222	0.0198772323618487	34.8714130791335	0.0338994339607798	3.66252035885331e-12
915	816	GeneID:100755326,Genbank:XP_007639451.1	XP_007639451.1	Wwc2	protein WWC2 isoform X1	XP_007639451.1	3911	8775.0108402582	31.8569	0.0506210894940878	13.692853857697	0.064643291093019	3.76122297924026e-12
918	820	GeneID:100755619,Genbank:XP_007639616.1	XP_007639616.1	Cdkn2aip	CDKN2A-interacting protein isoform X1	XP_007639616.1	3916	19702.9425718098	14.3428	0.0237174734608614	29.2251694390542	0.0377396750597925	1.22594577507477e-09
921	823	GeneID:100752671,Genbank:XP_007639464.1	XP_007639464.1	Rwdd4	RWD domain-containing protein 4 isoform X1	XP_007639464.1	3919	28228.0066469493	34471	0.0248220127723822	27.9246967969965	0.0388442143713133	2.3810040215639e-10
924	825	GeneID:100752972,Genbank:XP_003495517.1	XP_003495517.1	Trappc11	trafficking protein particle complex subunit 11 isoform X1	XP_003495517.1	3925	2098.8781352082	9.45094	0.0247802906241744	27.97171312768	0.0388024922231055	2.10668667658045e-09
956	854	GeneID:100758230,Genbank:XP_003495529.1	XP_003495529.1	Mrps22	28S ribosomal protein S22%2C mitochondrial	XP_003495529.1	3971	83822.9830190634	41581	0.014847484968084	46.6844844126752	0.0288696865670151	2.22998908404184e-12
