tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
rna53	-	-	gene42	LOC103160850	-	NW_003613580.1:5582785-5583546	551	0.294642	0.0680444	0	0.204133	OK
rna51	-	-	gene39	Akr1e2	-	NW_003613580.1:4550409-4564398	1248	0	0	0	0.0448878	OK
rna50	-	-	gene39	Akr1e2	-	NW_003613580.1:4550409-4564535	1266	204.418	24.5106	22.7135	26.3078	OK
rna55	-	-	gene44	LOC103161316	-	NW_003613580.1:5828429-5835146	274	0	0	0	0	OK
rna54	-	-	gene43	Klf6	-	NW_003613580.1:5598057-5605326	2609	212.392	27.7537	26.715	28.7923	OK
rna58	-	-	gene46	Pfkp	-	NW_003613580.1:6298275-6362233	2739	26.9684	4.79357	4.37062	5.21651	OK
gene47	-	-	gene47	LOC100758510	-	NW_003613580.1:6914006-6916200	1678	26.3359	4.60385	4.05848	5.14921	OK
gene48	-	-	gene48	LOC100758799	-	NW_003613580.1:7442033-7449638	948	4.3915	0.788799	0.472995	1.1046	OK
gene49	-	-	gene49	LOC103163576	-	NW_003613580.1:7556053-7556602	549	0	0	0	0	OK
rna59	-	-	gene50	LOC103161772	-	NW_003613580.1:7937553-7939094	245	0	0	0	0	OK
rna60	-	-	gene51	Adarb2	-	NW_003613580.1:7951874-8148851	2220	0	0	0	0	OK
rna56	-	-	gene45	Pitrm1	-	NW_003613580.1:6264963-6296264	3208	39.2383	8.27326	7.53909	9.00742	OK
rna57	-	-	gene45	Pitrm1	-	NW_003613580.1:6264969-6296264	3199	53.3904	11.2572	10.3996	12.1148	OK
rna63	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8246965	2726	20.8239	3.07631	2.71222	3.44041	OK
rna62	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8246976	2660	0	0	0	0.019031	OK
rna61	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8247651	2758	0	0	0	0.0182994	OK
rna66	-	-	gene54	Idi2	-	NW_003613580.1:8286040-8294496	684	0	0	0	0	OK
gene55	-	-	gene55	LOC100752969	-	NW_003613580.1:8300577-8301256	679	15.0851	1.9838	1.35278	2.61482	OK
rna39	-	-	gene25	Net1	-	NW_003613580.1:3981598-3992353	3304	450.041	55.2223	52.5529	57.8918	OK
rna37	-	-	gene25	Net1	-	NW_003613580.1:3981598-4017101	3421	0	0	0	0.0145224	OK
rna38	-	-	gene25	Net1	-	NW_003613580.1:3981598-4017101	3424	75.9642	9.3212	8.51612	10.1263	OK
rna68	-	-	gene58	LOC100753568	-	NW_003613580.1:8423519-8425213	1694	4.76013	0.942259	0.695269	1.18925	OK
gene59	-	-	gene59	LOC103163068	-	NW_003613580.1:8435797-8437663	1866	0.731331	0.0844465	0.0154962	0.153397	OK
rna67	-	-	gene56	Gtpbp4	-	NW_003613580.1:8320705-8341587	2813	308.771	49.2068	47.8728	50.5407	OK
gene57	-	-	gene57	LOC103163463	-	NW_003613580.1:8338751-8339335	584	0.537834	0.0621035	0	0.186311	OK
gene61	-	-	gene61	LOC100754170	-	NW_003613580.1:8507240-8508234	939	4.23224	0.574935	0.303729	0.846141	OK
rna69	-	-	gene60	Larp4b	-	NW_003613580.1:8454782-8504946	5764	101.632	13.9817	13.4971	14.4663	OK
rna20	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334158	4544	127.07	15.3702	14.4651	16.2753	OK
rna19	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334159	4371	0	0	0	0.0112078	OK
rna18	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334160	4633	0	0	0	0.0105441	OK
rna17	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3390245	4403	51.8258	6.26875	5.72512	6.81238	OK
rna73	-	-	gene65	Srp9	-	NW_003613581.1:470903-474086	1083	729.087	92.819	89.6717	95.9663	OK
rna72	-	-	gene64	Enah	-	NW_003613581.1:258050-311769	5365	103.378	12.8199	12.3383	13.3015	OK
gene67	-	-	gene67	LOC100753871	-	NW_003613581.1:571887-573024	1137	0	0	0	0	OK
rna64	-	-	gene53	Idi1	-	NW_003613580.1:8255356-8264530	2806	178.561	22.7458	21.1923	24.2993	OK
rna65	-	-	gene53	Idi1	-	NW_003613580.1:8256285-8264530	2550	1295.94	165.082	157.74	172.424	OK
rna74	-	-	gene66	Degs1	-	NW_003613581.1:562356-566197	1214	1480.61	191.958	187.666	196.25	OK
rna75	-	-	gene68	Fbxo28	-	NW_003613581.1:594334-608397	4418	121.753	15.0115	14.4346	15.5883	OK
gene71	-	-	gene71	LOC100754457	-	NW_003613581.1:799961-818572	1880	2.29648	0.27913	0.1543	0.403961	OK
rna80	-	-	gene72	Capn8	-	NW_003613581.1:843098-914962	2756	1.90323	0.265549	0.166927	0.364172	OK
rna81	-	-	gene73	Ccdc185	-	NW_003613581.1:1012300-1014140	1840	0	0	0	0	OK
rna82	-	-	gene74	Susd4	-	NW_003613581.1:1097629-1155020	2636	0.166443	0.0192192	0	0.0464371	OK
rna76	-	-	gene69	Tp53bp2	-	NW_003613581.1:702649-733291	3547	68.7533	8.32868	7.73235	8.92501	OK
rna77	-	-	gene69	Tp53bp2	-	NW_003613581.1:702649-733291	3520	0	0	0	0.0140882	OK
rna83	-	-	gene75	Tlr5	-	NW_003613581.1:1231067-1234341	2619	0	0	0	0	OK
rna88	-	-	gene77	Fam177b	-	NW_003613581.1:1474026-1477140	426	0	0	0	0	OK
rna89	-	-	gene78	Brox	-	NW_003613581.1:1487025-1504276	3400	250.275	30.7782	29.827	31.7295	OK
rna78	-	-	gene70	Capn2	-	NW_003613581.1:738999-789173	3229	529.686	67.4975	64.3554	70.6395	OK
rna79	-	-	gene70	Capn2	-	NW_003613581.1:740310-789173	3961	0	0	0	0.0124325	OK
rna91	-	-	gene80	LOC103163900	-	NW_003613581.1:1548133-1549899	955	9.46571	1.25024	0.852554	1.64793	OK
rna90	-	-	gene79	Aida	-	NW_003613581.1:1513005-1547409	4026	430.557	53.0381	51.8777	54.1985	OK
rna30	-	-	gene20	Gdi2	-	NW_003613580.1:3679052-3706247	2315	1463.96	183.793	175.683	191.902	OK
rna32	-	-	gene21	Fam208b	-	NW_003613580.1:3705912-3743903	9125	116.362	14.6087	13.8873	15.3301	OK
rna31	-	-	gene21	Fam208b	-	NW_003613580.1:3705912-3743903	9021	0	0	0	0.00529374	OK
rna102	-	-	gene84	Hhipl2	-	NW_003613581.1:1646909-1666137	2823	5.38925	0.678087	0.521603	0.834571	OK
rna103	-	-	gene85	LOC100773462	-	NW_003613581.1:2126711-2128076	1365	9.95804	1.31123	0.979915	1.64255	OK
rna104	-	-	gene86	Dusp10	-	NW_003613581.1:2128134-2167594	1903	102.462	12.528	11.6881	13.3679	OK
gene87	-	-	gene87	LOC100756194	-	NW_003613581.1:2647009-2765412	576	0	0	0	0	OK
rna105	-	-	gene88	Hlx	-	NW_003613581.1:2765478-2770320	1641	36.2495	4.67392	4.11909	5.22876	OK
rna106	-	-	gene89	Marc1	-	NW_003613581.1:2815754-2842404	1230	55.3258	6.76049	5.96716	7.55381	OK
rna107	-	-	gene90	Marc2	-	NW_003613581.1:2849077-2879004	1607	495.656	61.2376	59.2162	63.259	OK
rna87	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1344375	4230	0	0	0	0.0116008	OK
rna84	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4673	12.012	1.47216	1.2449	1.69943	OK
rna85	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4797	22.4502	2.75143	2.45958	3.04329	OK
rna86	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4896	0	0	0	0.00995247	OK
rna109	-	-	gene92	LOC103163931	-	NW_003613581.1:3192546-3195962	846	1.42644	0.183011	0.019321	0.346702	OK
rna108	-	-	gene91	Mark1	-	NW_003613581.1:2940984-2987386	2878	212.157	25.7082	24.7603	26.6562	OK
rna98	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2187	0	0	0	0.0235813	OK
rna99	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2177	0	0	0	0.0237011	OK
rna97	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2492	0	0	0	0.0204313	OK
rna95	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2541	61.2412	7.47637	6.72343	8.22931	OK
rna96	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2531	40.2593	4.91489	4.31291	5.51686	OK
rna100	-	-	gene83	Taf1a	-	NW_003613581.1:1618672-1642913	1721	0	0	0	0.0308479	OK
rna101	-	-	gene83	Taf1a	-	NW_003613581.1:1622476-1642913	1816	39.5978	4.83413	4.0913	5.57695	OK
rna92	-	-	gene81	Mia3	-	NW_003613581.1:1559581-1594360	6046	0	0	0	0.00799173	OK
rna93	-	-	gene81	Mia3	-	NW_003613581.1:1559581-1594360	6181	241.375	29.4985	28.1023	30.8948	OK
rna94	-	-	gene82	LOC103160753	-	NW_003613581.1:1576434-1580286	967	3.46323	0.399898	0.178074	0.621721	OK
rna121	-	-	gene98	Bpnt1	-	NW_003613581.1:3348605-3370581	2307	17.2323	2.08857	1.68104	2.4961	OK
rna122	-	-	gene98	Bpnt1	-	NW_003613581.1:3350793-3370581	2127	0	0	0	0.0243189	OK
rna123	-	-	gene98	Bpnt1	-	NW_003613581.1:3350797-3370581	2078	86.5971	10.4956	9.59996	11.3913	OK
rna9	-	-	gene9	LOC103163223	-	NW_003613580.1:2364309-2369107	1251	0	0	0	0.0447586	OK
rna10	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368527-2560107	7785	0	0	0	0.00615736	OK
rna11	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368528-2560107	7577	25.881	3.17368	2.87787	3.46948	OK
rna12	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368924-2560107	7767	23.0185	2.82266	2.54885	3.09646	OK
rna14	-	-	gene10	Sfmbt2	-	NW_003613580.1:2370918-2560107	7752	12.6279	1.5485	1.34265	1.75436	OK
rna13	-	-	gene10	Sfmbt2	-	NW_003613580.1:2370918-2560107	7786	0	0	0	0.00615655	OK
rna115	-	-	gene95	Iars2	-	NW_003613581.1:3304928-3346850	3102	992.219	120.564	118.564	122.565	OK
rna116	-	-	gene96	Mir194	-	NW_003613581.1:3326793-3326873	80	0	0	0	0	OK
rna117	-	-	gene96	Mir194	-	NW_003613581.1:3326802-3326824	22	0	0	0	0	OK
rna118	-	-	gene97	Mir215	-	NW_003613581.1:3327064-3327141	77	0	0	0	0	OK
rna119	-	-	gene97	Mir215	-	NW_003613581.1:3327073-3327095	22	0	0	0	0	OK
rna120	-	-	gene97	Mir215	-	NW_003613581.1:3327110-3327131	21	0	0	0	0	OK
rna125	-	-	gene100	Slc30a10	-	NW_003613581.1:3443457-3473139	1419	0.166907	0.0192727	0	0.0578182	OK
gene102	-	-	gene102	LOC100758800	-	NW_003613581.1:3731091-3740058	645	0	0	0	0	OK
rna126	-	-	gene101	LOC100758511	-	NW_003613581.1:3634169-3634541	372	146.501	31.9909	27.7292	36.2527	OK
rna127	-	-	gene103	Lyplal1	-	NW_003613581.1:4005999-4031697	1303	170.944	21.0813	19.7295	22.4331	OK
rna70	-	-	gene62	Dnah14	-	NW_003613581.1:1183-192633	14334	0	0	0	0.00330258	OK
rna71	-	-	gene63	Lbr	-	NW_003613581.1:191593-211364	3482	563.236	68.6153	65.4531	71.7775	OK
rna135	-	-	gene107	LOC100759657	-	NW_003613581.1:4817393-4832682	1575	0	0	0	0	OK
rna136	-	-	gene108	Spata17	-	NW_003613581.1:4914133-5086953	1617	4.94869	0.679083	0.464279	0.893886	OK
rna128	-	-	gene104	Tgfb2	-	NW_003613581.1:4511194-4592503	3553	0.392614	0.0488223	0.00724351	0.0904011	OK
rna129	-	-	gene104	Tgfb2	-	NW_003613581.1:4511194-4592503	3637	0	0	0	0.0136074	OK
rna138	-	-	gene110	LOC103164017	-	NW_003613581.1:5323667-5409280	1080	0	0	0	0	OK
rna130	-	-	gene105	Rrp15	-	NW_003613581.1:4607125-4622666	1209	1201.46	146.257	142.528	149.985	OK
rna139	-	-	gene111	Esrrg	-	NW_003613581.1:5910144-6081487	1317	0	0	0	0	OK
rna140	-	-	gene111	Esrrg	-	NW_003613581.1:5910147-6081487	1335	0	0	0	0	OK
rna141	-	-	gene111	Esrrg	-	NW_003613581.1:5910153-6081487	1191	0	0	0	0	OK
rna142	-	-	gene111	Esrrg	-	NW_003613581.1:5910438-6081487	1038	0	0	0	0	OK
rna137	-	-	gene109	Gpatch2	-	NW_003613581.1:5087457-5235817	3272	40.8764	5.24633	4.84413	5.64853	OK
gene114	-	-	gene114	LOC100761114	-	NW_003613581.1:6880232-6881378	776	0	0	0	0	OK
rna146	-	-	gene115	Kcnk2	-	NW_003613581.1:6984160-7103524	990	0.904957	0.119423	0	0.25851	OK
rna145	-	-	gene115	Kcnk2	-	NW_003613581.1:6984160-7106610	1281	0	0	0	0.0435063	OK
rna147	-	-	gene116	LOC100751789	-	NW_003613581.1:7202650-7206104	519	1.948	0.224934	0	0.484666	OK
rna111	-	-	gene93	Rab3gap2	-	NW_003613581.1:3232050-3304721	6448	16.5228	1.98662	1.74011	2.23312	OK
rna110	-	-	gene93	Rab3gap2	-	NW_003613581.1:3232050-3304721	6508	51.2944	6.16736	5.74162	6.5931	OK
rna112	-	-	gene94	Mir664	-	NW_003613581.1:3254499-3254578	79	0	0	0	0	OK
rna113	-	-	gene94	Mir664	-	NW_003613581.1:3254508-3254530	22	0	0	0	0	OK
rna114	-	-	gene94	Mir664	-	NW_003613581.1:3254545-3254568	23	0	0	0	0	OK
rna131	-	-	gene106	LOC103162392	-	NW_003613581.1:4622679-4648561	2348	6.97634	0.847207	0.586942	1.10747	OK
rna134	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2350	5.81996	0.706776	0.473662	0.93989	OK
rna133	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2354	20.8007	2.52604	2.09992	2.95217	OK
rna132	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2483	8.53727	1.03677	0.752542	1.32099	OK
rna144	-	-	gene113	Kctd3	-	NW_003613581.1:6777485-6831381	3913	177.593	21.642	20.9037	22.3803	OK
rna124	-	-	gene99	Eprs	-	NW_003613581.1:3377608-3439350	4873	817.125	100.401	98.9629	101.838	OK
rna152	-	-	gene120	Prox1	-	NW_003613581.1:7849249-7889306	2214	0	0	0	0	OK
rna153	-	-	gene121	Fam83b	-	NW_003613582.1:103096-152737	3039	0	0	0	0	OK
rna154	-	-	gene123	Hcrtr2	-	NW_003613582.1:316971-401015	1332	0	0	0	0	OK
rna155	-	-	gene124	Gfral	-	NW_003613582.1:422233-467793	1176	0	0	0	0	OK
gene122	-	-	gene122	LOC100762271	-	NW_003613582.1:229812-231342	1530	47.1588	8.65027	7.86455	9.43599	OK
gene125	-	-	gene125	LOC100762856	-	NW_003613582.1:476400-476871	471	28.9922	5.83522	4.37025	7.30019	OK
rna150	-	-	gene118	Ptpn14	-	NW_003613581.1:7507676-7589203	3998	93.4386	11.5662	11.0326	12.0999	OK
rna156	-	-	gene126	Hmgcll1	-	NW_003613582.1:489335-618855	2213	0.100786	0.0116377	0	0.0349131	OK
rna151	-	-	gene119	Smyd2	-	NW_003613581.1:7603647-7634660	1502	471.558	58.2737	56.2234	60.3241	OK
rna158	-	-	gene129	LOC100751975	-	NW_003613582.1:893350-900680	1613	0	0	0	0	OK
rna160	-	-	gene130	Scg3	-	NW_003613582.1:900861-939426	1401	0.169427	0.0195637	0	0.0752743	OK
rna159	-	-	gene130	Scg3	-	NW_003613582.1:900861-939426	1416	0	0	0	0.0386412	OK
rna161	-	-	gene131	Lysmd2	-	NW_003613582.1:943719-954792	979	321.741	40.1541	37.9368	42.3714	OK
rna162	-	-	gene132	Tmod2	-	NW_003613582.1:965699-1008192	2062	0.163496	0.0251718	0	0.0608198	OK
rna157	-	-	gene127	Bmp5	-	NW_003613582.1:716329-841307	4246	0.100068	0.0115548	0	0.0279186	OK
gene128	-	-	gene128	LOC103159906	-	NW_003613582.1:786493-806009	997	0	0	0	0	OK
rna165	-	-	gene135	LOC103161117	-	NW_003613582.1:1147017-1148571	814	14.2059	1.69565	1.18109	2.2102	OK
rna163	-	-	gene133	Tmod3	-	NW_003613582.1:1025737-1086667	1710	536.404	69.5589	67.4706	71.6472	OK
rna166	-	-	gene136	LOC103161118	-	NW_003613582.1:1154969-1162654	2255	1.38204	0.170982	0.0818764	0.260088	OK
rna164	-	-	gene134	Leo1	-	NW_003613582.1:1117216-1136332	1970	313.345	38.4057	36.9793	39.832	OK
rna168	-	-	gene138	Bcl2l10	-	NW_003613582.1:1217686-1221006	551	0	0	0	0	OK
rna169	-	-	gene139	Gnb5	-	NW_003613582.1:1223761-1252505	2087	54.6361	6.63142	6.05153	7.21131	OK
rna170	-	-	gene140	Myo5c	-	NW_003613582.1:1261569-1345983	5199	0.0809578	0.00934817	0	0.0225869	OK
gene141	-	-	gene141	LOC100765186	-	NW_003613582.1:1316110-1317561	1299	29.0426	6.4396	5.6925	7.18669	OK
rna167	-	-	gene137	Mapk6	-	NW_003613582.1:1163289-1184845	4125	591.699	71.5841	70.2575	72.9108	OK
rna176	-	-	gene145	Onecut1	-	NW_003613582.1:1683672-1709722	1296	0	0	0	0	OK
rna178	-	-	gene146	Wdr72	-	NW_003613582.1:2248669-2404763	3345	0	0	0	0	OK
rna177	-	-	gene146	Wdr72	-	NW_003613582.1:2248669-2404763	3309	0	0	0	0	OK
rna179	-	-	gene147	Unc13c	-	NW_003613582.1:2580932-2987370	6627	0	0	0	0	OK
gene148	-	-	gene148	LOC100766540	-	NW_003613582.1:3109160-3109290	130	0	0	0	0	OK
rna172	-	-	gene143	Arpp19	-	NW_003613582.1:1513794-1521630	3896	265.349	32.4071	31.5004	33.3139	OK
rna181	-	-	gene150	Khdc3l	-	NW_003613582.1:3301668-3302816	729	0	0	0	0	OK
rna182	-	-	gene151	Rab27a	-	NW_003613582.1:3308198-3329736	1285	2.43995	0.303412	0.141232	0.465593	OK
rna180	-	-	gene149	Rsl24d1	-	NW_003613582.1:3284259-3294666	1162	620.415	76.318	73.5849	79.051	OK
rna193	-	-	gene155	LOC100768761	-	NW_003613582.1:3425077-3429173	702	7.18666	0.912825	0.468409	1.35724	OK
rna192	-	-	gene155	LOC100768761	-	NW_003613582.1:3425077-3429174	848	0.774268	0.0983448	0	0.261523	OK
rna194	-	-	gene156	Dyx1c1	-	NW_003613582.1:3431398-3455380	2178	0.102577	0.0118445	0	0.0455736	OK
rna195	-	-	gene156	Dyx1c1	-	NW_003613582.1:3431398-3455380	2284	0	0	0	0.0224791	OK
rna196	-	-	gene157	Pygo1	-	NW_003613582.1:3466689-3482837	1374	12.1572	1.50128	1.15133	1.85122	OK
rna175	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1602283	3777	0	0	0	0.0130736	OK
rna174	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1623947	3738	0	0	0	0.013218	OK
rna173	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1624572	3782	8.621	1.05748	0.883787	1.23116	OK
rna197	-	-	gene158	Prtg	-	NW_003613582.1:3497338-3599182	3645	9.03515	1.10642	0.933101	1.27975	OK
rna184	-	-	gene152	Ccpg1	-	NW_003613582.1:3363289-3424921	2924	13.5102	1.62369	1.3316	1.91578	OK
rna183	-	-	gene152	Ccpg1	-	NW_003613582.1:3363289-3424922	2976	0	0	0	0.0168578	OK
rna185	-	-	gene152	Ccpg1	-	NW_003613582.1:3363504-3424919	2598	0	0	0	0.0195248	OK
rna189	-	-	gene152	Ccpg1	-	NW_003613582.1:3387924-3424918	3045	80.1964	9.63822	8.92829	10.3481	OK
rna188	-	-	gene152	Ccpg1	-	NW_003613582.1:3387924-3424919	2561	0	0	0	0.0198319	OK
rna186	-	-	gene153	Pigb	-	NW_003613582.1:3367272-3387851	1978	0	0	0	0.0263669	OK
rna187	-	-	gene153	Pigb	-	NW_003613582.1:3367274-3387851	1817	105.109	13.2125	12.1735	14.2514	OK
rna190	-	-	gene154	Mir628	-	NW_003613582.1:3400306-3400406	100	0	0	0	0	OK
rna191	-	-	gene154	Mir628	-	NW_003613582.1:3400374-3400396	22	0	0	0	0	OK
rna171	-	-	gene142	Myo5a	-	NW_003613582.1:1346949-1500609	11787	142.913	17.2284	16.8486	17.6081	OK
rna205	-	-	gene163	Tex9	-	NW_003613582.1:3917352-3950071	1448	26.9436	3.63259	3.10249	4.16269	OK
rna143	-	-	gene112	Ush2a	-	NW_003613581.1:6131447-6775104	17798	0.597183	0.0729347	0.0530597	0.0928098	OK
rna206	-	-	gene164	Mns1	-	NW_003613582.1:3955621-3978089	1788	97.3864	12.0224	11.1743	12.8706	OK
rna201	-	-	gene162	LOC103161344	-	NW_003613582.1:3880083-3895906	732	9.46196	1.17383	0.630779	1.71689	OK
rna204	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3895906	1065	5.59396	0.693977	0.369279	1.01867	OK
rna203	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3895906	1203	0	0	0	0.0469194	OK
rna202	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3899237	1272	2.33253	0.28937	0.092206	0.486535	OK
rna198	-	-	gene159	Nedd4	-	NW_003613582.1:3674205-3756018	4538	1384.43	170.425	168.493	172.357	OK
rna149	-	-	gene117	Cenpf	-	NW_003613581.1:7377446-7424674	9849	134.97	16.3207	15.5073	17.1341	OK
rna148	-	-	gene117	Cenpf	-	NW_003613581.1:7377446-7424674	9834	53.1787	6.43043	6.00391	6.85696	OK
gene170	-	-	gene170	LOC100771732	-	NW_003613582.1:4842546-4843289	543	0.603249	0.0696569	0	0.208971	OK
rna219	-	-	gene169	Myzap	-	NW_003613582.1:4747248-4834871	2341	211.762	25.5427	24.4855	26.5999	OK
rna217	-	-	gene167	Cgnl1	-	NW_003613582.1:4611767-4714266	6588	2.37346	0.288853	0.22183	0.355875	OK
rna218	-	-	gene168	LOC103159091	-	NW_003613582.1:4712395-4721086	4233	3.0004	0.365153	0.270276	0.460029	OK
gene173	-	-	gene173	LOC100756686	-	NW_003613582.1:5150698-5154905	1260	0	0	0	0	OK
rna222	-	-	gene172	Aldh1a2	-	NW_003613582.1:5048061-5085706	1155	0	0	0	0	OK
rna221	-	-	gene172	Aldh1a2	-	NW_003613582.1:5048061-5087160	1470	0	0	0	0	OK
