tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
rna38	-	-	gene25	Net1	-	NW_003613580.1:3981598-4017101	3424	11.6412	14.6024	12.4827	16.7221	OK
rna56	-	-	gene45	Pitrm1	-	NW_003613580.1:6264963-6296264	3208	0	0	0	0.0783423	OK
rna57	-	-	gene45	Pitrm1	-	NW_003613580.1:6264969-6296264	3199	9.4771	11.8878	10.4213	13.3543	OK
rna66	-	-	gene54	Idi2	-	NW_003613580.1:8286040-8294496	684	0	0	0	0	OK
gene55	-	-	gene55	LOC100752969	-	NW_003613580.1:8300577-8301256	679	3.47269	4.35603	2.40795	6.30411	OK
rna67	-	-	gene56	Gtpbp4	-	NW_003613580.1:8320705-8341587	2813	20.3718	25.5537	23.4269	27.6805	OK
gene57	-	-	gene57	LOC103163463	-	NW_003613580.1:8338751-8339335	584	0.26574	0.333336	0	1.00001	OK
rna68	-	-	gene58	LOC100753568	-	NW_003613580.1:8423519-8425213	1694	0.945831	1.18642	0.552252	1.82059	OK
gene59	-	-	gene59	LOC103163068	-	NW_003613580.1:8435797-8437663	1866	0.276347	0.346641	0.0365958	0.656686	OK
rna64	-	-	gene53	Idi1	-	NW_003613580.1:8255356-8264530	2806	0	0	0	0.0959806	OK
rna65	-	-	gene53	Idi1	-	NW_003613580.1:8256285-8264530	2550	182.922	229.452	217.688	241.215	OK
rna63	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8246965	2726	1.50816	1.89179	1.25319	2.5304	OK
rna62	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8246976	2660	0	0	0	0.104492	OK
rna61	-	-	gene52	Wdr37	-	NW_003613580.1:8186993-8247651	2758	0	0	0	0.0992766	OK
gene61	-	-	gene61	LOC100754170	-	NW_003613580.1:8507240-8508234	939	0.526754	0.660743	0	1.32181	OK
rna72	-	-	gene64	Enah	-	NW_003613581.1:258050-311769	5365	16.5306	20.7354	19.283	22.1878	OK
rna69	-	-	gene60	Larp4b	-	NW_003613580.1:8454782-8504946	5764	12.1612	15.2547	14.0709	16.4385	OK
rna73	-	-	gene65	Srp9	-	NW_003613581.1:470903-474086	1083	91.862	115.229	107.015	123.443	OK
rna20	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334158	4544	14.2015	17.8139	16.0551	19.5727	OK
rna19	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334159	4371	0	0	0	0.0607607	OK
rna18	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3334160	4633	0	0	0	0.0573162	OK
rna17	-	-	gene13	Pfkfb3	-	NW_003613580.1:3304482-3390245	4403	4.09146	5.13219	4.06569	6.1987	OK
gene67	-	-	gene67	LOC100753871	-	NW_003613581.1:571887-573024	1137	0	0	0	0	OK
rna74	-	-	gene66	Degs1	-	NW_003613581.1:562356-566197	1214	150.36	188.607	178.984	198.23	OK
rna75	-	-	gene68	Fbxo28	-	NW_003613581.1:594334-608397	4418	11.3092	14.1859	12.8422	15.5296	OK
gene71	-	-	gene71	LOC100754457	-	NW_003613581.1:799961-818572	1880	2.18359	2.73902	1.82914	3.64891	OK
rna80	-	-	gene72	Capn8	-	NW_003613581.1:843098-914962	2756	0.460117	0.577156	0.242671	0.911641	OK
rna81	-	-	gene73	Ccdc185	-	NW_003613581.1:1012300-1014140	1840	0	0	0	0	OK
rna82	-	-	gene74	Susd4	-	NW_003613581.1:1097629-1155020	2636	0	0	0	0	OK
rna83	-	-	gene75	Tlr5	-	NW_003613581.1:1231067-1234341	2619	0	0	0	0	OK
rna76	-	-	gene69	Tp53bp2	-	NW_003613581.1:702649-733291	3547	4.05795	5.09016	4.22984	5.95048	OK
rna77	-	-	gene69	Tp53bp2	-	NW_003613581.1:702649-733291	3520	0	0	0	0.0674571	OK
rna88	-	-	gene77	Fam177b	-	NW_003613581.1:1474026-1477140	426	0	0	0	0	OK
rna78	-	-	gene70	Capn2	-	NW_003613581.1:738999-789173	3229	51.644	64.7806	60.6231	68.9381	OK
rna79	-	-	gene70	Capn2	-	NW_003613581.1:740310-789173	3961	0	0	0	0.0642153	OK
rna89	-	-	gene78	Brox	-	NW_003613581.1:1487025-1504276	3400	26.6546	33.4346	31.166	35.7032	OK
rna91	-	-	gene80	LOC103163900	-	NW_003613581.1:1548133-1549899	955	0.451438	0.56627	0	1.22014	OK
rna90	-	-	gene79	Aida	-	NW_003613581.1:1513005-1547409	4026	42.302	53.0623	50.4816	55.6429	OK
rna98	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2187	0	0	0	0.124307	OK
rna99	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2177	0	0	0	0.124774	OK
rna97	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2492	0	0	0	0.108182	OK
rna95	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2541	0	0	0	0.104845	OK
rna96	-	-	gene83	Taf1a	-	NW_003613581.1:1617151-1642913	2531	3.92369	4.92175	3.72078	6.12273	OK
rna100	-	-	gene83	Taf1a	-	NW_003613581.1:1618672-1642913	1721	1.56558	1.96381	0.851172	3.07646	OK
rna101	-	-	gene83	Taf1a	-	NW_003613581.1:1622476-1642913	1816	2.27208	2.85003	1.66419	4.03586	OK
rna102	-	-	gene84	Hhipl2	-	NW_003613581.1:1646909-1666137	2823	0.156456	0.196253	0	0.392602	OK
rna103	-	-	gene85	LOC100773462	-	NW_003613581.1:2126711-2128076	1365	1.54874	1.9427	0.816826	3.06857	OK
rna104	-	-	gene86	Dusp10	-	NW_003613581.1:2128134-2167594	1903	14.5628	18.2672	15.7804	20.754	OK
gene87	-	-	gene87	LOC100756194	-	NW_003613581.1:2647009-2765412	576	0	0	0	0	OK
rna92	-	-	gene81	Mia3	-	NW_003613581.1:1559581-1594360	6046	0	0	0	0.036035	OK
rna93	-	-	gene81	Mia3	-	NW_003613581.1:1559581-1594360	6181	14.0533	17.628	16.2865	18.9695	OK
rna94	-	-	gene82	LOC103160753	-	NW_003613581.1:1576434-1580286	967	0	0	0	0	OK
rna105	-	-	gene88	Hlx	-	NW_003613581.1:2765478-2770320	1641	4.26209	5.34623	3.87374	6.81872	OK
rna30	-	-	gene20	Gdi2	-	NW_003613580.1:3679052-3706247	2315	126.381	158.528	149.664	167.392	OK
rna32	-	-	gene21	Fam208b	-	NW_003613580.1:3705912-3743903	9125	0	0	0	0.0246568	OK
rna31	-	-	gene21	Fam208b	-	NW_003613580.1:3705912-3743903	9021	6.01305	7.54259	6.84458	8.24059	OK
rna106	-	-	gene89	Marc1	-	NW_003613581.1:2815754-2842404	1230	15.3257	19.224	16.0636	22.3844	OK
rna109	-	-	gene92	LOC103163931	-	NW_003613581.1:3192546-3195962	846	0.164757	0.206665	0	0.619996	OK
rna107	-	-	gene90	Marc2	-	NW_003613581.1:2849077-2879004	1607	54.4177	68.2598	63.2913	73.2284	OK
rna87	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1344375	4230	0	0	0	0.0643864	OK
rna84	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4673	0	0	0	0.0590044	OK
rna85	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4797	2.01258	2.52452	1.96825	3.0808	OK
rna86	-	-	gene76	Disp1	-	NW_003613581.1:1297383-1414616	4896	0	0	0	0.055994	OK
rna108	-	-	gene91	Mark1	-	NW_003613581.1:2940984-2987386	2878	17.0583	21.3974	19.4337	23.3612	OK
rna115	-	-	gene95	Iars2	-	NW_003613581.1:3304928-3346850	3102	99.0462	124.24	119.644	128.837	OK
rna116	-	-	gene96	Mir194	-	NW_003613581.1:3326793-3326873	80	0	0	0	0	OK
rna117	-	-	gene96	Mir194	-	NW_003613581.1:3326802-3326824	22	0	0	0	0	OK
rna118	-	-	gene97	Mir215	-	NW_003613581.1:3327064-3327141	77	0	0	0	0	OK
rna119	-	-	gene97	Mir215	-	NW_003613581.1:3327073-3327095	22	0	0	0	0	OK
rna120	-	-	gene97	Mir215	-	NW_003613581.1:3327110-3327131	21	0	0	0	0	OK
rna125	-	-	gene100	Slc30a10	-	NW_003613581.1:3443457-3473139	1419	0	0	0	0	OK
rna126	-	-	gene101	LOC100758511	-	NW_003613581.1:3634169-3634541	372	74.603	93.5797	76.2768	110.883	OK
gene102	-	-	gene102	LOC100758800	-	NW_003613581.1:3731091-3740058	645	0	0	0	0	OK
rna127	-	-	gene103	Lyplal1	-	NW_003613581.1:4005999-4031697	1303	15.1178	18.9634	15.9955	21.9312	OK
rna121	-	-	gene98	Bpnt1	-	NW_003613581.1:3348605-3370581	2307	0	0	0	0.117015	OK
rna122	-	-	gene98	Bpnt1	-	NW_003613581.1:3350793-3370581	2127	0	0	0	0.133855	OK
rna123	-	-	gene98	Bpnt1	-	NW_003613581.1:3350797-3370581	2078	10.808	13.5572	11.5126	15.6018	OK
rna130	-	-	gene105	Rrp15	-	NW_003613581.1:4607125-4622666	1209	58.5229	73.4092	67.7868	79.0317	OK
rna124	-	-	gene99	Eprs	-	NW_003613581.1:3377608-3439350	4873	55.3074	69.3759	66.8011	71.9507	OK
rna135	-	-	gene107	LOC100759657	-	NW_003613581.1:4817393-4832682	1575	0	0	0	0	OK
rna136	-	-	gene108	Spata17	-	NW_003613581.1:4914133-5086953	1617	0.135163	0.169544	0	0.409649	OK
rna137	-	-	gene109	Gpatch2	-	NW_003613581.1:5087457-5235817	3272	2.65967	3.33621	2.60313	4.06928	OK
rna138	-	-	gene110	LOC103164017	-	NW_003613581.1:5323667-5409280	1080	0	0	0	0	OK
rna139	-	-	gene111	Esrrg	-	NW_003613581.1:5910144-6081487	1317	0	0	0	0	OK
rna140	-	-	gene111	Esrrg	-	NW_003613581.1:5910147-6081487	1335	0	0	0	0	OK
rna141	-	-	gene111	Esrrg	-	NW_003613581.1:5910153-6081487	1191	0	0	0	0	OK
rna142	-	-	gene111	Esrrg	-	NW_003613581.1:5910438-6081487	1038	0	0	0	0	OK
rna128	-	-	gene104	Tgfb2	-	NW_003613581.1:4511194-4592503	3553	0.0593496	0.0744463	0	0.203609	OK
rna129	-	-	gene104	Tgfb2	-	NW_003613581.1:4511194-4592503	3637	0	0	0	0.0728787	OK
rna131	-	-	gene106	LOC103162392	-	NW_003613581.1:4622679-4648561	2348	1.35531	1.70005	0.896795	2.50331	OK
rna134	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2350	0	0	0	0.113531	OK
rna133	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2354	1.33569	1.67545	0.87254	2.47837	OK
rna132	-	-	gene106	LOC103162392	-	NW_003613581.1:4622818-4648561	2483	0.492413	0.617667	0.10188	1.13345	OK
gene114	-	-	gene114	LOC100761114	-	NW_003613581.1:6880232-6881378	776	0	0	0	0	OK
rna146	-	-	gene115	Kcnk2	-	NW_003613581.1:6984160-7103524	990	0	0	0	0	OK
rna145	-	-	gene115	Kcnk2	-	NW_003613581.1:6984160-7106610	1281	0	0	0	0	OK
rna144	-	-	gene113	Kctd3	-	NW_003613581.1:6777485-6831381	3913	17.0581	21.3972	19.6329	23.1614	OK
rna147	-	-	gene116	LOC100751789	-	NW_003613581.1:7202650-7206104	519	0.32097	0.402615	0	1.20784	OK
rna150	-	-	gene118	Ptpn14	-	NW_003613581.1:7507676-7589203	3998	7.28204	9.13436	7.99697	10.2718	OK
rna151	-	-	gene119	Smyd2	-	NW_003613581.1:7603647-7634660	1502	37.5244	47.0695	42.8089	51.33	OK
rna152	-	-	gene120	Prox1	-	NW_003613581.1:7849249-7889306	2214	0	0	0	0	OK
rna153	-	-	gene121	Fam83b	-	NW_003613582.1:103096-152737	3039	0	0	0	0	OK
gene122	-	-	gene122	LOC100762271	-	NW_003613582.1:229812-231342	1530	4.20104	5.26965	3.88834	6.65096	OK
rna154	-	-	gene123	Hcrtr2	-	NW_003613582.1:316971-401015	1332	0	0	0	0	OK
rna155	-	-	gene124	Gfral	-	NW_003613582.1:422233-467793	1176	0	0	0	0	OK
gene125	-	-	gene125	LOC100762856	-	NW_003613582.1:476400-476871	471	12.6014	15.8069	10.5559	21.0578	OK
rna156	-	-	gene126	Hmgcll1	-	NW_003613582.1:489335-618855	2213	0	0	0	0	OK
rna157	-	-	gene127	Bmp5	-	NW_003613582.1:716329-841307	4246	0	0	0	0	OK
gene128	-	-	gene128	LOC103159906	-	NW_003613582.1:786493-806009	997	0	0	0	0	OK
rna158	-	-	gene129	LOC100751975	-	NW_003613582.1:893350-900680	1613	0	0	0	0	OK
rna160	-	-	gene130	Scg3	-	NW_003613582.1:900861-939426	1401	0	0	0	0	OK
rna159	-	-	gene130	Scg3	-	NW_003613582.1:900861-939426	1416	0	0	0	0	OK
rna161	-	-	gene131	Lysmd2	-	NW_003613582.1:943719-954792	979	25.4315	31.9004	27.443	36.3579	OK
rna162	-	-	gene132	Tmod2	-	NW_003613582.1:965699-1008192	2062	0	0	0	0	OK
rna163	-	-	gene133	Tmod3	-	NW_003613582.1:1025737-1086667	1710	49.4518	62.0308	57.7088	66.3529	OK
rna164	-	-	gene134	Leo1	-	NW_003613582.1:1117216-1136332	1970	22.4123	28.1133	25.5512	30.6753	OK
rna165	-	-	gene135	LOC103161117	-	NW_003613582.1:1147017-1148571	814	1.0616	1.33163	0.244359	2.41891	OK
rna111	-	-	gene93	Rab3gap2	-	NW_003613581.1:3232050-3304721	6448	1.26279	1.584	1.08993	2.07807	OK
rna110	-	-	gene93	Rab3gap2	-	NW_003613581.1:3232050-3304721	6508	6.18914	7.76346	6.85785	8.66907	OK
rna112	-	-	gene94	Mir664	-	NW_003613581.1:3254499-3254578	79	0	0	0	0	OK
rna113	-	-	gene94	Mir664	-	NW_003613581.1:3254508-3254530	22	0	0	0	0	OK
rna114	-	-	gene94	Mir664	-	NW_003613581.1:3254545-3254568	23	0	0	0	0	OK
rna166	-	-	gene136	LOC103161118	-	NW_003613582.1:1154969-1162654	2255	0.181808	0.228054	0	0.456218	OK
rna168	-	-	gene138	Bcl2l10	-	NW_003613582.1:1217686-1221006	551	0	0	0	0	OK
rna169	-	-	gene139	Gnb5	-	NW_003613582.1:1223761-1252505	2087	6.99432	8.77345	7.15813	10.3888	OK
rna170	-	-	gene140	Myo5c	-	NW_003613582.1:1261569-1345983	5199	0	0	0	0	OK
gene141	-	-	gene141	LOC100765186	-	NW_003613582.1:1316110-1317561	1299	9.21866	11.5636	9.34841	13.7788	OK
rna70	-	-	gene62	Dnah14	-	NW_003613581.1:1183-192633	14334	0	0	0	0.0164763	OK
rna71	-	-	gene63	Lbr	-	NW_003613581.1:191593-211364	3482	63.877	80.1253	75.2208	85.0298	OK
rna167	-	-	gene137	Mapk6	-	NW_003613582.1:1163289-1184845	4125	57.6611	72.3283	69.3041	75.3525	OK
rna172	-	-	gene143	Arpp19	-	NW_003613582.1:1513794-1521630	3896	23.0807	28.9517	26.9096	30.9938	OK
rna176	-	-	gene145	Onecut1	-	NW_003613582.1:1683672-1709722	1296	0	0	0	0	OK
rna178	-	-	gene146	Wdr72	-	NW_003613582.1:2248669-2404763	3345	0	0	0	0	OK
rna177	-	-	gene146	Wdr72	-	NW_003613582.1:2248669-2404763	3309	0	0	0	0	OK
rna179	-	-	gene147	Unc13c	-	NW_003613582.1:2580932-2987370	6627	0	0	0	0	OK
gene148	-	-	gene148	LOC100766540	-	NW_003613582.1:3109160-3109290	130	0	0	0	0	OK
rna180	-	-	gene149	Rsl24d1	-	NW_003613582.1:3284259-3294666	1162	59.6291	74.7969	68.7092	80.8846	OK
rna181	-	-	gene150	Khdc3l	-	NW_003613582.1:3301668-3302816	729	0	0	0	0	OK
rna182	-	-	gene151	Rab27a	-	NW_003613582.1:3308198-3329736	1285	0.254156	0.318805	0	0.68693	OK
rna9	-	-	gene9	LOC103163223	-	NW_003613580.1:2364309-2369107	1251	0	0	0	0.245439	OK
rna10	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368527-2560107	7785	0	0	0	0.0330444	OK
rna11	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368528-2560107	7577	0	0	0	0.0338811	OK
rna12	-	-	gene10	Sfmbt2	-	NW_003613580.1:2368924-2560107	7767	4.68761	5.87999	5.10364	6.65634	OK
rna14	-	-	gene10	Sfmbt2	-	NW_003613580.1:2370918-2560107	7752	0	0	0	0.0331178	OK
rna13	-	-	gene10	Sfmbt2	-	NW_003613580.1:2370918-2560107	7786	2.01902	2.5326	1.96379	3.10141	OK
rna193	-	-	gene155	LOC100768761	-	NW_003613582.1:3425077-3429173	702	1.85203	2.32313	0.682293	3.96396	OK
rna192	-	-	gene155	LOC100768761	-	NW_003613582.1:3425077-3429174	848	0	0	0	0.385691	OK
rna194	-	-	gene156	Dyx1c1	-	NW_003613582.1:3431398-3455380	2178	0	0	0	0	OK
rna195	-	-	gene156	Dyx1c1	-	NW_003613582.1:3431398-3455380	2284	0	0	0	0	OK
rna196	-	-	gene157	Pygo1	-	NW_003613582.1:3466689-3482837	1374	1.77349	2.22461	1.22974	3.21949	OK
rna175	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1602283	3777	0	0	0	0.0665402	OK
rna174	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1623947	3738	0	0	0	0.0673075	OK
rna173	-	-	gene144	Fam214a	-	NW_003613582.1:1540676-1624572	3782	1.23722	1.55193	1.08965	2.01421	OK
rna197	-	-	gene158	Prtg	-	NW_003613582.1:3497338-3599182	3645	0.690974	0.866736	0.510509	1.22296	OK
rna198	-	-	gene159	Nedd4	-	NW_003613582.1:3674205-3756018	4538	101.035	126.735	122.967	130.503	OK
rna201	-	-	gene162	LOC103161344	-	NW_003613582.1:3880083-3895906	732	1.77101	2.2215	0.635499	3.80751	OK
rna204	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3895906	1065	0	0	0	0.249258	OK
rna203	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3895906	1203	0.582253	0.73036	0.0216958	1.43902	OK
rna202	-	-	gene162	LOC103161344	-	NW_003613582.1:3881819-3899237	1272	0	0	0	0.20864	OK
rna205	-	-	gene163	Tex9	-	NW_003613582.1:3917352-3950071	1448	3.55476	4.45898	3.24389	5.67407	OK
rna206	-	-	gene164	Mns1	-	NW_003613582.1:3955621-3978089	1788	6.52326	8.18257	6.77927	9.58587	OK
rna184	-	-	gene152	Ccpg1	-	NW_003613582.1:3363289-3424921	2924	3.22125	4.04064	3.0888	4.99248	OK
rna183	-	-	gene152	Ccpg1	-	NW_003613582.1:3363289-3424922	2976	0	0	0	0.076977	OK
rna185	-	-	gene152	Ccpg1	-	NW_003613582.1:3363504-3424919	2598	0	0	0	0.0876524	OK
rna189	-	-	gene152	Ccpg1	-	NW_003613582.1:3387924-3424918	3045	8.93917	11.213	9.74506	12.681	OK
rna188	-	-	gene152	Ccpg1	-	NW_003613582.1:3387924-3424919	2561	0	0	0	0.0885623	OK
rna186	-	-	gene153	Pigb	-	NW_003613582.1:3367272-3387851	1978	0	0	0	0.159613	OK
rna187	-	-	gene153	Pigb	-	NW_003613582.1:3367274-3387851	1817	10.7116	13.4363	11.1408	15.7319	OK
rna190	-	-	gene154	Mir628	-	NW_003613582.1:3400306-3400406	100	0	0	0	0	OK
rna191	-	-	gene154	Mir628	-	NW_003613582.1:3400374-3400396	22	0	0	0	0	OK
rna171	-	-	gene142	Myo5a	-	NW_003613582.1:1346949-1500609	11787	12.8885	16.1669	15.3402	16.9935	OK
rna217	-	-	gene167	Cgnl1	-	NW_003613582.1:4611767-4714266	6588	0.08112	0.101754	0.00830232	0.195207	OK
rna218	-	-	gene168	LOC103159091	-	NW_003613582.1:4712395-4721086	4233	0.207962	0.260861	0.0517754	0.469946	OK
rna143	-	-	gene112	Ush2a	-	NW_003613581.1:6131447-6775104	17798	0.0225546	0.0282918	0	0.0565972	OK
gene170	-	-	gene170	LOC100771732	-	NW_003613582.1:4842546-4843289	543	0	0	0	0	OK
rna219	-	-	gene169	Myzap	-	NW_003613582.1:4747248-4834871	2341	11.6291	14.5872	12.8591	16.3153	OK
rna222	-	-	gene172	Aldh1a2	-	NW_003613582.1:5048061-5085706	1155	0	0	0	0	OK
rna221	-	-	gene172	Aldh1a2	-	NW_003613582.1:5048061-5087160	1470	0	0	0	0	OK
gene173	-	-	gene173	LOC100756686	-	NW_003613582.1:5150698-5154905	1260	0	0	0	0	OK
rna223	-	-	gene174	Aqp9	-	NW_003613582.1:5163572-5200076	888	0	0	0	0	OK
gene175	-	-	gene175	LOC103161345	-	NW_003613582.1:5192984-5193659	675	0	0	0	0	OK
rna224	-	-	gene176	Lipc	-	NW_003613582.1:5358912-5485125	1494	0	0	0	0	OK
rna200	-	-	gene160	Rfx7	-	NW_003613582.1:3797596-3820221	7256	0	0	0	0.0343577	OK
rna199	-	-	gene160	Rfx7	-	NW_003613582.1:3797596-3879358	7267	7.34425	9.21239	8.3223	10.1025	OK
gene161	-	-	gene161	LOC100769808	-	NW_003613582.1:3835856-3836263	407	0.472496	0.592684	0	1.77805	OK
rna220	-	-	gene171	Polr2m	-	NW_003613582.1:4859365-4867420	2183	81.3165	102.001	96.9414	107.06	OK
