"","cds","rna","GeneID","Name","gene_name","description","protein_id"
"mapping_line","11","13","GeneID:100761982,Genbank:XP_007640648.1","XP_007640648.1","Sfmbt2","scm-like with four MBT domains protein 2 isoform X1","XP_007640648.1"
"mapping_line","12","14","GeneID:100761982,Genbank:XP_007641015.1","XP_007641015.1","Sfmbt2","scm-like with four MBT domains protein 2 isoform X1","XP_007641015.1"
"mapping_line","13","11","GeneID:100761982,Genbank:XP_007641434.1","XP_007641434.1","Sfmbt2","scm-like with four MBT domains protein 2 isoform X2","XP_007641434.1"
"mapping_line","14","15","GeneID:100762470,Genbank:XP_003494977.1","XP_003494977.1","Prkcq","protein kinase C theta type isoform X1","XP_003494977.1"
"mapping_line","15","16","GeneID:100762470,Genbank:XP_007642747.1","XP_007642747.1","Prkcq","protein kinase C theta type isoform X2","XP_007642747.1"
"mapping_line","16","17","GeneID:100762756,Genbank:XP_007643742.1","XP_007643742.1","Pfkfb3","6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 3 isoform X2","XP_007643742.1"
"mapping_line","17","19","GeneID:100762756,Genbank:XP_003494978.1","XP_003494978.1","Pfkfb3","6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 3 isoform X4","XP_003494978.1"
"mapping_line","18","20","GeneID:100762756,Genbank:XP_003494982.1","XP_003494982.1","Pfkfb3","6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 3 isoform X3","XP_003494982.1"
"mapping_line","19","18","GeneID:100762756,Genbank:XP_003494984.1","XP_003494984.1","Pfkfb3","6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 3 isoform X1","XP_003494984.1"
"mapping_line","20","21","GeneID:100764203,Genbank:XP_003494985.1","XP_003494985.1","Rbm17","splicing factor 45","XP_003494985.1"
"mapping_line","21","22","GeneID:100764797,Genbank:XP_007638297.1","XP_007638297.1","Il2ra","interleukin-2 receptor subunit alpha","XP_007638297.1"
"mapping_line","22","23","GeneID:100755321,Genbank:XP_003494963.1","XP_003494963.1","Il15ra","interleukin-15 receptor subunit alpha isoform X1","XP_003494963.1"
"mapping_line","23","24","GeneID:100765086,Genbank:XP_003494987.1","XP_003494987.1","Fbxo18","F-box only protein 18 isoform X1","XP_003494987.1"
"mapping_line","24","25","GeneID:100765086,Genbank:XP_007647395.1","XP_007647395.1","Fbxo18","F-box only protein 18 isoform X2","XP_007647395.1"
"mapping_line","25","28","GeneID:100765375,Genbank:XP_007647973.1","XP_007647973.1","Ankrd16","ankyrin repeat domain-containing protein 16 isoform X1","XP_007647973.1"
"mapping_line","26","29","GeneID:100765375,Genbank:XP_003494988.1","XP_003494988.1","Ankrd16","ankyrin repeat domain-containing protein 16 isoform X2","XP_003494988.1"
"mapping_line","27","27","GeneID:100765375,Genbank:XP_003494989.1","XP_003494989.1","Ankrd16","ankyrin repeat domain-containing protein 16 isoform X3","XP_003494989.1"
"mapping_line","28","30","GeneID:100765873,Genbank:XP_003494990.1","XP_003494990.1","Gdi2","rab GDP dissociation inhibitor beta","XP_003494990.1"
"mapping_line","29","32","GeneID:100766168,Genbank:XP_007649603.1","XP_007649603.1","Fam208b","protein FAM208B isoform X1","XP_007649603.1"
"mapping_line","30","31","GeneID:100766168,Genbank:XP_003494991.1","XP_003494991.1","Fam208b","protein FAM208B isoform X1","XP_003494991.1"
"mapping_line","31","33","GeneID:100766461,Genbank:XP_003494992.1","XP_003494992.1","Asb13","ankyrin repeat and SOCS box protein 13","XP_003494992.1"
"mapping_line","32","34","GeneID:100766751,Genbank:XP_003494993.1","XP_003494993.1","Calml3","calmodulin-like protein 3","XP_003494993.1"
"mapping_line","33","35","GeneID:100767046,Genbank:XP_003494994.1","XP_003494994.1","Calml5","calmodulin-like protein 5 isoform X1","XP_003494994.1"
"mapping_line","34","36","GeneID:100767046,Genbank:XP_007652432.1","XP_007652432.1","Calml5","calmodulin-like protein 5 isoform X2","XP_007652432.1"
"mapping_line","35","37","GeneID:100767327,Genbank:XP_003494996.1","XP_003494996.1","Net1","neuroepithelial cell-transforming gene 1 protein isoform X2","XP_003494996.1"
"mapping_line","36","38","GeneID:100767327,Genbank:XP_007652932.1","XP_007652932.1","Net1","neuroepithelial cell-transforming gene 1 protein isoform X1","XP_007652932.1"
"mapping_line","37","39","GeneID:100767327,Genbank:XP_003494995.1","XP_003494995.1","Net1","neuroepithelial cell-transforming gene 1 protein isoform X3","XP_003494995.1"
"mapping_line","38","40","GeneID:100755907,Genbank:XP_007606261.1","XP_007606261.1","Tubal3","tubulin alpha chain-like 3","XP_007606261.1"
"mapping_line","39","41","GeneID:100767799,Genbank:XP_003494997.1","XP_003494997.1","Ucn3","urocortin-3","XP_003494997.1"
"mapping_line","40","42","GeneID:100768090,Genbank:XP_003494998.1","XP_003494998.1","LOC100768090","prostaglandin-E(2) 9-reductase-like isoform X1","XP_003494998.1"
"mapping_line","41","43","GeneID:100768376,Genbank:XP_003494999.1","XP_003494999.1","LOC100768376","3-alpha-hydroxysteroid dehydrogenase-like","XP_003494999.1"
"mapping_line","42","44","GeneID:100768666,Genbank:XP_003495000.2","XP_003495000.2","LOC100768666","aldo-keto reductase family 1 member C18","XP_003495000.2"
"mapping_line","43","45","GeneID:100768959,Genbank:XP_003495001.1","XP_003495001.1","LOC100768959","aldo-keto reductase family 1 member C13-like isoform X1","XP_003495001.1"
"mapping_line","44","46","GeneID:100769236,Genbank:XP_003495002.1","XP_003495002.1","LOC100769236","aldo-keto reductase family 1 member C13","XP_003495002.1"
"mapping_line","45","47","GeneID:100769523,Genbank:XP_003495003.1","XP_003495003.1","LOC100769523","aldo-keto reductase family 1 member C13","XP_003495003.1"
"mapping_line","46","48","GeneID:100770100,Genbank:XP_003495004.1","XP_003495004.1","LOC100770100","estradiol 17 beta-dehydrogenase 5","XP_003495004.1"
"mapping_line","47","49","GeneID:100770388,Genbank:XP_003495005.1","XP_003495005.1","LOC100770388","aldo-keto reductase family 1 member C21-like","XP_003495005.1"
"mapping_line","48","50","GeneID:100750439,Genbank:XP_007616485.1","XP_007616485.1","Akr1e2","1%2C5-anhydro-D-fructose reductase isoform X1","XP_007616485.1"
"mapping_line","49","51","GeneID:100750439,Genbank:XP_007617090.1","XP_007617090.1","Akr1e2","1%2C5-anhydro-D-fructose reductase isoform X2","XP_007617090.1"
"mapping_line","50","54","GeneID:100750724,Genbank:XP_003494953.1","XP_003494953.1","Klf6","Krueppel-like factor 6 isoform X1","XP_003494953.1"
"mapping_line","51","56","GeneID:100751021,Genbank:XP_007622691.1","XP_007622691.1","Pitrm1","presequence protease%2C mitochondrial isoform X1","XP_007622691.1"
"mapping_line","52","57","GeneID:100751021,Genbank:XP_003494954.1","XP_003494954.1","Pitrm1","presequence protease%2C mitochondrial isoform X2","XP_003494954.1"
"mapping_line","53","58","GeneID:100751501,Genbank:XP_003494956.1","XP_003494956.1","Pfkp","6-phosphofructokinase type C","XP_003494956.1"
"mapping_line","54","60","GeneID:100759087,Genbank:XP_003494967.1","XP_003494967.1","Adarb2","double-stranded RNA-specific editase B2 isoform X1","XP_003494967.1"
"mapping_line","55","63","GeneID:100752074,Genbank:XP_007625880.1","XP_007625880.1","Wdr37","WD repeat-containing protein 37","XP_007625880.1"
"mapping_line","56","61","GeneID:100752074,Genbank:XP_007626480.1","XP_007626480.1","Wdr37","WD repeat-containing protein 37","XP_007626480.1"
"mapping_line","57","62","GeneID:100752074,Genbank:XP_007627069.1","XP_007627069.1","Wdr37","WD repeat-containing protein 37","XP_007627069.1"
"mapping_line","58","64","GeneID:100752366,Genbank:XP_007627971.1","XP_007627971.1","Idi1","isopentenyl-diphosphate Delta-isomerase 1 isoform X1","XP_007627971.1"
"mapping_line","59","65","GeneID:100752366,Genbank:XP_007628604.1","XP_007628604.1","Idi1","isopentenyl-diphosphate Delta-isomerase 1 isoform X2","XP_007628604.1"
"mapping_line","60","66","GeneID:100752668,Genbank:XP_003494960.1","XP_003494960.1","Idi2","isopentenyl-diphosphate delta-isomerase 2","XP_003494960.1"
"mapping_line","61","67","GeneID:100753267,Genbank:XP_003494961.1","XP_003494961.1","Gtpbp4","nucleolar GTP-binding protein 1","XP_003494961.1"
"mapping_line","63","69","GeneID:100753870,Genbank:XP_003494962.1","XP_003494962.1","Larp4b","la-related protein 4B","XP_003494962.1"
"mapping_line","65","71","GeneID:100770668,Genbank:XP_003495006.1","XP_003495006.1","Lbr","lamin-B receptor","XP_003495006.1"
"mapping_line","66","72","GeneID:100752970,Genbank:XP_007641997.1","XP_007641997.1","Enah","protein enabled homolog isoform X1","XP_007641997.1"
"mapping_line","69","75","GeneID:100754171,Genbank:XP_007639147.1","XP_007639147.1","Fbxo28","F-box only protein 28","XP_007639147.1"
"mapping_line","70","76","GeneID:100770953,Genbank:XP_003495007.2","XP_003495007.2","Tp53bp2","apoptosis-stimulating of p53 protein 2 isoform X1","XP_003495007.2"
"mapping_line","71","77","GeneID:100770953,Genbank:XP_007639243.1","XP_007639243.1","Tp53bp2","apoptosis-stimulating of p53 protein 2 isoform X2","XP_007639243.1"
"mapping_line","72","78","GeneID:100771239,Genbank:XP_003495008.1","XP_003495008.1","Capn2","calpain-2 catalytic subunit isoform X2","XP_003495008.1"
"mapping_line","73","79","GeneID:100771239,Genbank:XP_007639317.1","XP_007639317.1","Capn2","calpain-2 catalytic subunit isoform X1","XP_007639317.1"
"mapping_line","74","80","GeneID:100771531,Genbank:XP_007639431.1","XP_007639431.1","Capn8","calpain-8 isoform X1","XP_007639431.1"
"mapping_line","76","82","GeneID:100771822,Genbank:XP_007642108.1","XP_007642108.1","Susd4","sushi domain-containing protein 4","XP_007642108.1"
"mapping_line","77","83","GeneID:100772103,Genbank:XP_003495011.1","XP_003495011.1","Tlr5","toll-like receptor 5","XP_003495011.1"
"mapping_line","78","85","GeneID:100772392,Genbank:XP_007639670.1","XP_007639670.1","Disp1","protein dispatched homolog 1 isoform X1","XP_007639670.1"
"mapping_line","79","86","GeneID:100772392,Genbank:XP_007639700.1","XP_007639700.1","Disp1","protein dispatched homolog 1 isoform X1","XP_007639700.1"
"mapping_line","80","84","GeneID:100772392,Genbank:XP_003495012.1","XP_003495012.1","Disp1","protein dispatched homolog 1 isoform X2","XP_003495012.1"
"mapping_line","81","87","GeneID:100772392,Genbank:XP_007639792.1","XP_007639792.1","Disp1","protein dispatched homolog 1 isoform X3","XP_007639792.1"
"mapping_line","82","88","GeneID:100755036,Genbank:XP_003495035.1","XP_003495035.1","Fam177b","protein FAM177B","XP_003495035.1"
"mapping_line","83","89","GeneID:100772686,Genbank:XP_003495014.1","XP_003495014.1","Brox","BRO1 domain-containing protein BROX isoform X1","XP_003495014.1"
"mapping_line","85","91","GeneID:103163900,Genbank:XP_007639960.1","XP_007639960.1","LOC103163900","melanoma inhibitory activity protein 3-like","XP_007639960.1"
"mapping_line","86","92","GeneID:100755615,Genbank:XP_007640092.1","XP_007640092.1","Mia3","melanoma inhibitory activity protein 3 isoform X2","XP_007640092.1"
"mapping_line","87","93","GeneID:100755615,Genbank:XP_007640053.1","XP_007640053.1","Mia3","melanoma inhibitory activity protein 3 isoform X1","XP_007640053.1"
"mapping_line","88","95","GeneID:100773180,Genbank:XP_007640140.1","XP_007640140.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X1","XP_007640140.1"
"mapping_line","89","96","GeneID:100773180,Genbank:XP_007640175.1","XP_007640175.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X1","XP_007640175.1"
"mapping_line","90","97","GeneID:100773180,Genbank:XP_007640213.1","XP_007640213.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X1","XP_007640213.1"
"mapping_line","91","98","GeneID:100773180,Genbank:XP_007640258.1","XP_007640258.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X1","XP_007640258.1"
"mapping_line","92","99","GeneID:100773180,Genbank:XP_003495015.1","XP_003495015.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X1","XP_003495015.1"
"mapping_line","93","101","GeneID:100773180,Genbank:XP_007640332.1","XP_007640332.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X2","XP_007640332.1"
"mapping_line","94","100","GeneID:100773180,Genbank:XP_007640384.1","XP_007640384.1","Taf1a","TATA box-binding protein-associated factor RNA polymerase I subunit A isoform X3","XP_007640384.1"
"mapping_line","96","103","GeneID:100773462,Genbank:XP_003495016.1","XP_003495016.1","LOC100773462","uncharacterized protein LOC100773462 isoform X1","XP_003495016.1"
"mapping_line","97","104","GeneID:100773751,Genbank:XP_003495017.1","XP_003495017.1","Dusp10","dual specificity protein phosphatase 10","XP_003495017.1"
"mapping_line","99","106","GeneID:100756783,Genbank:XP_003495040.1","XP_003495040.1","Marc1","mitochondrial amidoxime-reducing component 1 isoform X1","XP_003495040.1"
"mapping_line","101","108","GeneID:100757648,Genbank:XP_007642453.1","XP_007642453.1","Mark1","serine/threonine-protein kinase MARK1 isoform X1","XP_007642453.1"
"mapping_line","102","110","GeneID:100757933,Genbank:XP_003495044.1","XP_003495044.1","Rab3gap2","rab3 GTPase-activating protein non-catalytic subunit isoform X1","XP_003495044.1"
"mapping_line","103","111","GeneID:100757933,Genbank:XP_007640777.1","XP_007640777.1","Rab3gap2","rab3 GTPase-activating protein non-catalytic subunit isoform X2","XP_007640777.1"
"mapping_line","105","122","GeneID:100774047,Genbank:XP_007640834.1","XP_007640834.1","Bpnt1","3'(2')%2C5'-bisphosphate nucleotidase 1 isoform X1","XP_007640834.1"
"mapping_line","106","121","GeneID:100774047,Genbank:XP_007640867.1","XP_007640867.1","Bpnt1","3'(2')%2C5'-bisphosphate nucleotidase 1 isoform X1","XP_007640867.1"
"mapping_line","107","123","GeneID:100774047,Genbank:XP_003495018.1","XP_003495018.1","Bpnt1","3'(2')%2C5'-bisphosphate nucleotidase 1 isoform X2","XP_003495018.1"
"mapping_line","108","124","GeneID:100774338,Genbank:XP_007642504.1","XP_007642504.1","Eprs","bifunctional glutamate/proline--tRNA ligase isoform X1","XP_007642504.1"
"mapping_line","109","125","GeneID:100774627,Genbank:XP_003495020.1","XP_003495020.1","Slc30a10","zinc transporter 10 isoform X1","XP_003495020.1"
"mapping_line","110","126","GeneID:100758511,Genbank:XP_003495046.1","XP_003495046.1","LOC100758511","peptidyl-prolyl cis-trans isomerase A-like","XP_003495046.1"
"mapping_line","112","128","GeneID:100774918,Genbank:XP_003495022.1","XP_003495022.1","Tgfb2","transforming growth factor beta-2 isoform X2","XP_003495022.1"
"mapping_line","113","129","GeneID:100774918,Genbank:XP_003495021.1","XP_003495021.1","Tgfb2","transforming growth factor beta-2 isoform X1","XP_003495021.1"
"mapping_line","114","130","GeneID:100750619,Genbank:XP_003495023.1","XP_003495023.1","Rrp15","RRP15-like protein","XP_003495023.1"
"mapping_line","115","135","GeneID:100759657,Genbank:XP_003495048.1","XP_003495048.1","LOC100759657","putative ATP-dependent RNA helicase Pl10","XP_003495048.1"
"mapping_line","116","136","GeneID:100759946,Genbank:XP_003495049.1","XP_003495049.1","Spata17","spermatogenesis-associated protein 17","XP_003495049.1"
"mapping_line","117","137","GeneID:100760239,Genbank:XP_007641342.1","XP_007641342.1","Gpatch2","G patch domain-containing protein 2 isoform X1","XP_007641342.1"
"mapping_line","118","138","GeneID:103164017,Genbank:XP_007642763.1","XP_007642763.1","LOC103164017","C-type lectin domain family 4 member F-like","XP_007642763.1"
"mapping_line","119","140","GeneID:100760533,Genbank:XP_007641496.1","XP_007641496.1","Esrrg","estrogen-related receptor gamma isoform X2","XP_007641496.1"
"mapping_line","120","139","GeneID:100760533,Genbank:XP_007641534.1","XP_007641534.1","Esrrg","estrogen-related receptor gamma isoform X3","XP_007641534.1"
"mapping_line","121","141","GeneID:100760533,Genbank:XP_007641404.1","XP_007641404.1","Esrrg","estrogen-related receptor gamma isoform X6","XP_007641404.1"
"mapping_line","122","142","GeneID:100760533,Genbank:XP_007641460.1","XP_007641460.1","Esrrg","estrogen-related receptor gamma isoform X1","XP_007641460.1"
"mapping_line","124","144","GeneID:100760825,Genbank:XP_003495052.1","XP_003495052.1","Kctd3","BTB/POZ domain-containing protein KCTD3 isoform X1","XP_003495052.1"
"mapping_line","125","145","GeneID:100751502,Genbank:XP_003495026.1","XP_003495026.1","Kcnk2","potassium channel subfamily K member 2 isoform X1","XP_003495026.1"
"mapping_line","126","146","GeneID:100751502,Genbank:XP_007641697.1","XP_007641697.1","Kcnk2","potassium channel subfamily K member 2 isoform X2","XP_007641697.1"
"mapping_line","127","148","GeneID:100752075,Genbank:XP_003495028.1","XP_003495028.1","Cenpf","centromere protein F isoform X2","XP_003495028.1"
"mapping_line","128","149","GeneID:100752075,Genbank:XP_007641800.1","XP_007641800.1","Cenpf","centromere protein F isoform X1","XP_007641800.1"
"mapping_line","129","150","GeneID:100761406,Genbank:XP_007643024.1","XP_007643024.1","Ptpn14","tyrosine-protein phosphatase non-receptor type 14 isoform X1","XP_007643024.1"
"mapping_line","130","151","GeneID:100761694,Genbank:XP_003495054.1","XP_003495054.1","Smyd2","N-lysine methyltransferase SMYD2","XP_003495054.1"
"mapping_line","131","152","GeneID:100752367,Genbank:XP_003495029.1","XP_003495029.1","Prox1","prospero homeobox protein 1","XP_003495029.1"
"mapping_line","132","153","GeneID:100761983,Genbank:XP_003495055.1","XP_003495055.1","Fam83b","protein FAM83B","XP_003495055.1"
"mapping_line","133","154","GeneID:100762569,Genbank:XP_003495056.1","XP_003495056.1","Hcrtr2","orexin receptor type 2 isoform X1","XP_003495056.1"
"mapping_line","134","155","GeneID:100751689,Genbank:XP_003495099.1","XP_003495099.1","Gfral","GDNF family receptor alpha-like","XP_003495099.1"
"mapping_line","135","156","GeneID:100763147,Genbank:XP_003495057.1","XP_003495057.1","Hmgcll1","3-hydroxymethyl-3-methylglutaryl-CoA lyase%2C cytoplasmic isoform X1","XP_003495057.1"
"mapping_line","136","157","GeneID:100763439,Genbank:XP_003495058.1","XP_003495058.1","Bmp5","bone morphogenetic protein 5","XP_003495058.1"
"mapping_line","138","159","GeneID:100763721,Genbank:XP_003495059.1","XP_003495059.1","Scg3","secretogranin-3 isoform X1","XP_003495059.1"
"mapping_line","139","160","GeneID:100763721,Genbank:XP_007643575.1","XP_007643575.1","Scg3","secretogranin-3 isoform X2","XP_007643575.1"
"mapping_line","140","161","GeneID:100752262,Genbank:XP_003495100.2","XP_003495100.2","Lysmd2","lysM and putative peptidoglycan-binding domain-containing protein 2","XP_003495100.2"
"mapping_line","141","162","GeneID:100764008,Genbank:XP_003495060.1","XP_003495060.1","Tmod2","tropomodulin-2 isoform X1","XP_003495060.1"
"mapping_line","144","167","GeneID:100764603,Genbank:XP_003495062.1","XP_003495062.1","Mapk6","mitogen-activated protein kinase 6 isoform X1","XP_003495062.1"
"mapping_line","146","169","GeneID:100764899,Genbank:XP_007644087.1","XP_007644087.1","Gnb5","guanine nucleotide-binding protein subunit beta-5","XP_007644087.1"
"mapping_line","147","170","GeneID:100753160,Genbank:XP_007647935.1","XP_007647935.1","Myo5c","unconventional myosin-Vc","XP_007647935.1"
"mapping_line","148","171","GeneID:100753457,Genbank:XP_007647992.1","XP_007647992.1","Myo5a","unconventional myosin-Va isoform X1","XP_007647992.1"
"mapping_line","149","172","GeneID:100765476,Genbank:XP_003495064.1","XP_003495064.1","Arpp19","cAMP-regulated phosphoprotein 19 isoform X1","XP_003495064.1"
"mapping_line","150","173","GeneID:100753759,Genbank:XP_007644305.1","XP_007644305.1","Fam214a","protein FAM214A isoform X3","XP_007644305.1"
"mapping_line","151","174","GeneID:100753759,Genbank:XP_007644230.1","XP_007644230.1","Fam214a","protein FAM214A isoform X1","XP_007644230.1"
"mapping_line","152","175","GeneID:100753759,Genbank:XP_007644272.1","XP_007644272.1","Fam214a","protein FAM214A isoform X2","XP_007644272.1"
"mapping_line","153","176","GeneID:100765766,Genbank:XP_007644349.1","XP_007644349.1","Onecut1","hepatocyte nuclear factor 6 isoform X1","XP_007644349.1"
"mapping_line","154","177","GeneID:100766058,Genbank:XP_003495066.1","XP_003495066.1","Wdr72","WD repeat-containing protein 72 isoform X2","XP_003495066.1"
"mapping_line","155","178","GeneID:100766058,Genbank:XP_003495067.1","XP_003495067.1","Wdr72","WD repeat-containing protein 72 isoform X1","XP_003495067.1"
"mapping_line","156","179","GeneID:100754632,Genbank:XP_007644522.1","XP_007644522.1","Unc13c","protein unc-13 homolog C isoform X1","XP_007644522.1"
"mapping_line","157","180","GeneID:100767126,Genbank:XP_003495068.1","XP_003495068.1","Rsl24d1","probable ribosome biogenesis protein RLP24","XP_003495068.1"
"mapping_line","159","182","GeneID:100767414,Genbank:XP_007644689.1","XP_007644689.1","Rab27a","ras-related protein Rab-27A","XP_007644689.1"
"mapping_line","160","184","GeneID:100768292,Genbank:XP_007644794.1","XP_007644794.1","Ccpg1","cell cycle progression protein 1 isoform X2","XP_007644794.1"
"mapping_line","161","183","GeneID:100768292,Genbank:XP_007644752.1","XP_007644752.1","Ccpg1","cell cycle progression protein 1 isoform X1","XP_007644752.1"
"mapping_line","162","185","GeneID:100768292,Genbank:XP_007644907.1","XP_007644907.1","Ccpg1","cell cycle progression protein 1 isoform X4","XP_007644907.1"
"mapping_line","163","186","GeneID:100768002,Genbank:XP_007645010.1","XP_007645010.1","Pigb","GPI mannosyltransferase 3 isoform X1","XP_007645010.1"
"mapping_line","164","187","GeneID:100768002,Genbank:XP_007645058.1","XP_007645058.1","Pigb","GPI mannosyltransferase 3 isoform X2","XP_007645058.1"
"mapping_line","165","188","GeneID:100768292,Genbank:XP_007644942.1","XP_007644942.1","Ccpg1","cell cycle progression protein 1 isoform X5","XP_007644942.1"
"mapping_line","166","189","GeneID:100768292,Genbank:XP_003495072.2","XP_003495072.2","Ccpg1","cell cycle progression protein 1 isoform X3","XP_003495072.2"
"mapping_line","167","193","GeneID:100768761,Genbank:XP_003495074.1","XP_003495074.1","LOC100768761","uncharacterized protein C15orf65 homolog isoform X1","XP_003495074.1"
"mapping_line","168","192","GeneID:100768761,Genbank:XP_007645144.1","XP_007645144.1","LOC100768761","uncharacterized protein C15orf65 homolog isoform X2","XP_007645144.1"
"mapping_line","169","195","GeneID:100769043,Genbank:XP_003495075.1","XP_003495075.1","Dyx1c1","dyslexia susceptibility 1 candidate gene 1 protein isoform X2","XP_003495075.1"
"mapping_line","170","194","GeneID:100769043,Genbank:XP_003495076.1","XP_003495076.1","Dyx1c1","dyslexia susceptibility 1 candidate gene 1 protein isoform X1","XP_003495076.1"
"mapping_line","172","197","GeneID:100755217,Genbank:XP_003495108.1","XP_003495108.1","Prtg","protogenin isoform X1","XP_003495108.1"
"mapping_line","174","199","GeneID:100769524,Genbank:XP_003495077.1","XP_003495077.1","Rfx7","DNA-binding protein RFX7 isoform X1","XP_003495077.1"
"mapping_line","175","200","GeneID:100769524,Genbank:XP_007645532.1","XP_007645532.1","Rfx7","DNA-binding protein RFX7 isoform X2","XP_007645532.1"
"mapping_line","176","205","GeneID:100755801,Genbank:XP_007648175.1","XP_007648175.1","Tex9","testis-expressed sequence 9 protein isoform X1","XP_007648175.1"
"mapping_line","177","206","GeneID:100770101,Genbank:XP_003495078.1","XP_003495078.1","Mns1","meiosis-specific nuclear structural protein 1 isoform X1","XP_003495078.1"
"mapping_line","178","209","GeneID:100770583,Genbank:XP_003495080.1","XP_003495080.1","Znf280d","zinc finger protein 280D isoform X1","XP_003495080.1"
"mapping_line","179","208","GeneID:100770583,Genbank:XP_007645785.1","XP_007645785.1","Znf280d","zinc finger protein 280D isoform X1","XP_007645785.1"
"mapping_line","180","207","GeneID:100770583,Genbank:XP_007645838.1","XP_007645838.1","Znf280d","zinc finger protein 280D isoform X1","XP_007645838.1"
"mapping_line","181","210","GeneID:100770583,Genbank:XP_007645870.1","XP_007645870.1","Znf280d","zinc finger protein 280D isoform X2","XP_007645870.1"
"mapping_line","182","211","GeneID:100770583,Genbank:XP_007645910.1","XP_007645910.1","Znf280d","zinc finger protein 280D isoform X3","XP_007645910.1"
"mapping_line","183","214","GeneID:100770871,Genbank:XP_003495081.1","XP_003495081.1","Tcf12","transcription factor 12 isoform X5","XP_003495081.1"
"mapping_line","184","212","GeneID:100770871,Genbank:XP_007646025.1","XP_007646025.1","Tcf12","transcription factor 12 isoform X1","XP_007646025.1"
"mapping_line","185","215","GeneID:100770871,Genbank:XP_007646061.1","XP_007646061.1","Tcf12","transcription factor 12 isoform X2","XP_007646061.1"
"mapping_line","186","213","GeneID:100770871,Genbank:XP_007646116.1","XP_007646116.1","Tcf12","transcription factor 12 isoform X3","XP_007646116.1"
"mapping_line","187","216","GeneID:100770871,Genbank:XP_007646157.1","XP_007646157.1","Tcf12","transcription factor 12 isoform X4","XP_007646157.1"
"mapping_line","188","217","GeneID:100771153,Genbank:XP_003495082.1","XP_003495082.1","Cgnl1","cingulin-like protein 1 isoform X1","XP_003495082.1"
"mapping_line","190","219","GeneID:100772021,Genbank:XP_003495084.1","XP_003495084.1","Myzap","myocardial zonula adherens protein","XP_003495084.1"
"mapping_line","191","220","GeneID:100771441,Genbank:XP_003495083.1","XP_003495083.1","Polr2m","protein GRINL1A","XP_003495083.1"
"mapping_line","192","221","GeneID:100772304,Genbank:XP_003495085.1","XP_003495085.1","Aldh1a2","retinal dehydrogenase 2 isoform X3","XP_003495085.1"
"mapping_line","193","222","GeneID:100772304,Genbank:XP_007646494.1","XP_007646494.1","Aldh1a2","retinal dehydrogenase 2 isoform X1","XP_007646494.1"
"mapping_line","194","223","GeneID:100772598,Genbank:XP_003495086.1","XP_003495086.1","Aqp9","aquaporin-9","XP_003495086.1"
"mapping_line","195","224","GeneID:100756973,Genbank:XP_003495111.2","XP_003495111.2","Lipc","hepatic triacylglycerol lipase","XP_003495111.2"
